line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
review_eced44bf-8dbf-4da8-aabc-c8b10d40d4b0	prologue	序章 · 蓝色来电	S11		84	百合沢爱理	dialogue	最喜欢你了，基生。	s11d | 百合沢爱理 | 她微笑着朝基生伸出双手，掌心向上，既像邀请，也像等待被握住。	s11d2 | 成田基生 | ……爱理。	大好きだよ、基生。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		795ed1fe307a002df6d47f366920eb3e31cd1ef6e0316ac281ecd063204c58fc	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_006	chapter1	第一章 · 失而复得的日常	S01		90	“爱理”	dialogue	爱、理，没错哦。	ch1_005 | 基生 | 爱……爱……	ch1_007 | 旁白 | 她微红着脸，脑袋微微歪向一侧，俏皮地看过来，露出恶作剧般的笑容。	あ・い・り。そうだよ。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		baabffb89114e0e049fadc4cfd9e5b8a55f179f65b1ea253d4a689dd8cb4bc44	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_008	chapter1	第一章 · 失而复得的日常	S01		92	“爱理”	dialogue	你刚才还叫了我的名字呢……你不会，把我忘了吧？	ch1_007 | 旁白 | 她微红着脸，脑袋微微歪向一侧，俏皮地看过来，露出恶作剧般的笑容。	ch1_009 | 旁白 | 她的动作、声音、表情，每一项都与记忆里的爱理逐渐重合。基生终于意识到——这个少女，毫无疑问就是“爱理”。但此刻，指尖残留的毛骨悚然还没有消退。他看看自己微微发颤的手，又看向面前的“爱理”。	さっきも名前を呼んでくれたのに……まさか、私のこと、忘れちゃった？	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		e92c257c12d416297bde4769f41e2e12e44ecc7ddd65e37c10eebcaa6d2054d8	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_013	chapter1	第一章 · 失而复得的日常	S01		97	“爱理”	dialogue	因为基生，因为你、呼唤了我啊。	ch1_012 | 基生 | 爱理，为什么、为什么现在才……	ch1_014 | “爱理” | 基生啊，我最喜欢你了。	だって、基生が……あなたが、私を呼んでくれたから。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		3dd637a3518cfc5ba87ed6c5c5d5359be03a1c2f71091dda80735b1e2edec557	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_014	chapter1	第一章 · 失而复得的日常	S01		98	“爱理”	dialogue	基生啊，我最喜欢你了。	ch1_013 | “爱理” | 因为基生，因为你、呼唤了我啊。	ch1_015 | 基生 | 嗯……嗯、我也是……但是……爱理，你怎么了？	基生、私、あなたのことが大好き。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		9cebb657fcb4df329e5fe03646e3445af84de366e5953fa5467cf8987f6ccc3b	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_017	chapter1	第一章 · 失而复得的日常	S01		101	“爱理”	dialogue	基生啊——告诉我，你最喜欢我了。	ch1_016 | 旁白 | “爱理”忽然抬起头。那双蓝色的眼眸里，映出无数蠕虫般蠕动的蓝色电线。她皮笑肉不笑地开口——	ch1_018 | 旁白 | 蓝色吞没了视野。她的眼中，电线般的细丝交错蠕动。	ねえ、基生——私のこと、大好きだって言って。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		c01716efdd8344c79261329653fc33d5d2fd9b54f1891eab2f3b124965b9225c	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_028	chapter1	第一章 · 失而复得的日常	S02		109	“爱理”	dialogue	基生……	ch1_027 | 旁白 | 基生的手还在床上摸索着手机，注意力却被引向房间门口——那里站着一位身着水手服的少女。	ch1_029 | 旁白 | 少女突然跑来，飞扑到他身上，将他紧紧抱在怀里。	基生……	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		8bbb9f40d834bb7a9bfd907586f5f5741f0d74c3411b09b299e11d630879a8f5	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_030	chapter1	第一章 · 失而复得的日常	S02		111	“爱理”	dialogue	基生！！你还活着？！你没有死？！还好吗？！	ch1_029 | 旁白 | 少女突然跑来，飞扑到他身上，将他紧紧抱在怀里。	ch1_031 | 旁白 | “爱理”眉毛微蹙，上上下下打量着他，眼角还挂着几滴晶莹的泪珠。	基生！！ 生きてるの？！ 死んでないよね？！ 大丈夫？！	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		3afd1f9a3a5ece2c19618cfb7d986667ecccdd2a2cefd3f4b0042b6ad17e41b9	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_033	chapter1	第一章 · 失而复得的日常	S02		114	“爱理”	dialogue	太好了……	ch1_032 | 基生 | 还、还活着呢！没死呢！我没事！！	ch1_034 | 旁白 | “爱理”的表情终于舒缓下来，脸上漾起笑颜。回过神时，她发现自己的姿势有些不妥，赶紧松开手，跪坐在他的床边。	よかった……	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		9b810859c8c9f8c7b6b712ae4f55298cabc531164c94affd843265bdf5811343	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch1_040	chapter1	第一章 · 失而复得的日常	S02		120	“爱理”	dialogue	嗯、是呀？	ch1_039 | 基生 | 爱、爱理……昨天……我们两个，是在海边对吧？	ch1_041 | 基生 | ……在海边重逢，然后，后来怎么了？我们是怎么……回到家的。	うん、そうだよ？	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		a1e7b7bc8f4b8d3b21885899e16d65d5de6c5316ccf242a1f65d34948acaf4ac	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
