line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
ch1_313	chapter1	第一章 · 失而复得的日常	S06		356	小泪	dialogue	成田前辈？	ch1_312 | 十屋 | 前辈也好久不见！	ch1_314 | 十屋 | 对、没错——没错——小泪你之前不是来过我打工的那个居酒屋吗！他是在那里工作过的前辈！成田前辈超级——好——我超喜欢他的——！因为和成田前辈一起的时候，他不仅绝对不会对我生气，而且工作也很愉快！		untranslated			6a11916da8bc85fe851be6829b388d200ed2e6967f0a9eec5862ccdfde993b82	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_315	chapter1	第一章 · 失而复得的日常	S06		358	小泪	dialogue	哼——嗯。	ch1_314 | 十屋 | 对、没错——没错——小泪你之前不是来过我打工的那个居酒屋吗！他是在那里工作过的前辈！成田前辈超级——好——我超喜欢他的——！因为和成田前辈一起的时候，他不仅绝对不会对我生气，而且工作也很愉快！	ch1_316 | 基生 | 啊……这样……		untranslated			539c0eb49c016a83a14eea0fd0f728ca507e36eeb4f97fa17dea139bcbace246	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0127	heroine	女主视角 · 青	03-04		1169	小泪	dialogue	没。	her_0126 | 十屋君 | 真是想要和成田前辈的小aili见一下呢！是吧，小泪！	her_0128 | 十屋君 | 说来啊，成田前辈居然变得那么阳光了啊！果然是因为交了女朋友所以改变了啊——！我超理解的！		untranslated			e5318e6b7ffd4e95267c1b3e0d99742a62df215b699de3c009c3b20326510e9c	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0134	heroine	女主视角 · 青	03-06		1177	小泪	dialogue	没兴趣。	her_0133 | 十屋君 | 这么快就发过来了啊！！成田前辈真是傲娇呢！！喂，小泪也一起来看吧！	her_0135 | 十屋君 | 诶，好冷淡啊~不想看就算了！我看看啊~		untranslated			b1adb205623b0b74f79ed8d65da3cd973bbf0bf8558c69a1934343c674becc22	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0136	heroine	女主视角 · 青	03-06		1179	小泪	dialogue	我，去那边看看。	her_0135 | 十屋君 | 诶，好冷淡啊~不想看就算了！我看看啊~	her_0137 | 十屋君 | 知道了——		untranslated			6680afc4bf8daa9d439cd367b48aa00de3959a6e43be69e1382370dca58b9894	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0141	heroine	女主视角 · 青	03-08		1184	小泪	dialogue	匡门？	her_0140 | 十屋君 | 哇啊啊啊啊啊啊——！！！	her_0142 | 小泪 | 怎么了！？发生什么事情了！？		untranslated			dc4e6c917fbec9aec94c723b61250e36125d70a56d8fc89f56b7805e187ce76e	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0142	heroine	女主视角 · 青	03-08		1185	小泪	dialogue	怎么了！？发生什么事情了！？	her_0141 | 小泪 | 匡门？	her_0143 | 十屋君 | 啊，小，小泪...		untranslated			6c0c81d07711566f9f04ea3d04620bc7feac7b7ec5863c2899759ea43476e339	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0144	heroine	女主视角 · 青	03-08		1187	小泪	dialogue	没事吧？	her_0143 | 十屋君 | 啊，小，小泪...	her_0145 | 旁白 | 十屋的双眼里映出蓝光。恐惧让他满脸冷汗，一句话也说不出来。		untranslated			78c25470db85684db8bab449b09798ec24cb3ed706a81511c41516ce9af98f36	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0146	heroine	女主视角 · 青	03-08		1189	小泪	dialogue	匡门？别吓我啊...发生什么了？	her_0145 | 旁白 | 十屋的双眼里映出蓝光。恐惧让他满脸冷汗，一句话也说不出来。	her_0147 | 十屋君 | 哇啊啊啊啊啊啊——！！！		untranslated			a576793eb927b27399b2fbe3186b6d89c18923011bf82c2bd4480eb9f35f08b9	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0148	heroine	女主视角 · 青	03-08		1191	小泪	dialogue	匡门！？	her_0147 | 十屋君 | 哇啊啊啊啊啊啊——！！！	her_chapter_04 | heroine-card | 第四章｜「喜欢」是什么		untranslated			839084243113dea8e41e1839f5b200461f2d666d5384d5f151743cfa528b41f8	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
