line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
ch3_175	chapter3	第三章 · 过去与现在	S02		773	？	dialogue	基生——！	ch3_174 | 基生 | ……算了，不充了……差不多也该把它丢掉了……	ch3_176 | 旁白 | 基生猛地抬头，可床边并没有人。房间里只有床铺、窗帘和昏暗的室内环境。他的眼神中流露出惊讶与疑惑。		untranslated			a92fd07c276c2dd0090b818300f420f6e21de8bc54c9a981d431f43d6d3847e6	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_363	chapter3	第三章 · 过去与现在	S06		944	？	dialogue	……生	ch3_362 | 基生 | 爱理……	ch3_364 | ？ | 基生……		untranslated			e91d495ed2847573fc3298a7280e8b9ffa990ae63b2cab6bb1255fb1a0c162e1	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_364	chapter3	第三章 · 过去与现在	S06		945	？	dialogue	基生……	ch3_363 | ？ | ……生	ch3_365 | 基生 | 爱理！！		untranslated			86eccb29a05af5345d4bad6ace0ecc165a86eba85536201dde50f947c7916444	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_463	chapter3	第三章 · 过去与现在	S07B		1020	？	dialogue	啊！！	ch3_462 | 旁白 | 十年前那个荒唐的“暑假”早已成为记忆。翻盖手机里也只剩下一封奇怪的、来自 ILY 的信，但印象里出现的蓝色链接早已不见踪影——可能是某个诈骗短信吧。	ch3_464 | 旁白 | 基生被这个稚嫩的童声吓了一跳。		untranslated			b72c667f966dc185785cda216a49dae351fc3f2b899e18bcd335a2e516710fb2	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0097	heroine	女主视角 · 青	02-04		1134	？	dialogue	小春	her_0095 | 旁白 | 春的手忽然脱力，手机从指缝间滑下去，砸在桌上，又滑落到膝盖上。	her_0098 | 春 | 诶？		untranslated			e6887f8b157f88cbf5eb75c2b0f5fb462096dd4bb7439b45f5ab76bf6d94e909	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0120	heroine	女主视角 · 青	03-02		1161	？	dialogue	哇对不起	her_0119 | 旁白 | 一个人的肩膀撞上了基生的背。	her_0121 | 旁白 | 她跑掉了。		untranslated			85f6c73c43e949648ef469eb7740b887bf91759bd6ac3bc51d71b7f1a654fded	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0347	heroine	女主视角 · 青	05-07		1354	？	dialogue	这是...？什么情况...	her_0346 | ILY | 基生...	her_0348 | ILY | ！？		untranslated			c23196b486e6733c886b32e3475c160f2f35bcc52bf0b67c8ca31c4bf5127935	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0397	heroine	女主视角 · 青	06-01		1390	？	dialogue	基生——！	her_0396 | 基生 | ……算了，不充了……差不多也该把它丢掉了……	her_0398 | 旁白 | 房间里只有床铺、窗帘和昏暗的室内环境，他的眼神中流露出惊讶与疑惑。		untranslated			943d4d22cdd6cb8f365402890747f6b6a6187756205ca15fd05ba330c5418c7f	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0461	heroine	女主视角 · 青	07-01		1445	？	dialogue	爱理！！	her_0460 | ILY | 基生...	fin_s01 | 旁白 | 月下的自白 —— “ILY 病毒”的真相		untranslated			b183dcd3206905b145aa055302494864863512d2425b766d3dfd51414b98b101	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
fin_153	final	最终章 · One Last Kiss	S07		1585	？	dialogue	“啊！！”	fin_s07 | 旁白 | 尾声 —— “我会好好地活下去”	fin_154 | 旁白 | 基生被这个稚嫩的童声，吓了一跳。		untranslated			6b79c64a282e55f74badc207b5daf8c1a22b99edb1d2aa1268159d12396b9366	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
