line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
ch3_465	chapter3	第三章 · 过去与现在	S07B		1026	基生的儿子	dialogue	爸爸！你好像很闲！！	ch3_464 | 旁白 | 基生被这个稚嫩的童声吓了一跳。	ch3_466 | 基生的儿子 | 闲的没事的话，带我去海边玩吧！海边海边海边！		untranslated			a60e3d6d6b9b9a0c288c124845dbc0bfd2fcdde7f3d366f3814d7b69c8c29635	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_466	chapter3	第三章 · 过去与现在	S07B		1027	基生的儿子	dialogue	闲的没事的话，带我去海边玩吧！海边海边海边！	ch3_465 | 基生的儿子 | 爸爸！你好像很闲！！	ch3_467 | 基生的儿子 | 另外你要是不快点起床的话，妈妈又要骂你了哦？		untranslated			ec6e090addf1637cbf5d1db50dfb23e4c98a74e39a58241fd2c6e826f8fd3979	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_467	chapter3	第三章 · 过去与现在	S07B		1028	基生的儿子	dialogue	另外你要是不快点起床的话，妈妈又要骂你了哦？	ch3_466 | 基生的儿子 | 闲的没事的话，带我去海边玩吧！海边海边海边！	ch3_468 | 基生 | 嗯——？嗯——。		untranslated			2563d3709b6ba10ef3bd23c5e50903116a84cf91b5c3e1c6002b59955019777a	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_469	chapter3	第三章 · 过去与现在	S07B		1030	基生的儿子	dialogue	你刚才说“嗯”了吧！	ch3_468 | 基生 | 嗯——？嗯——。	ch3_470 | 基生的儿子 | 太好了！		untranslated			0ce446ae2ae76f178a2c2659f05930f8f3a5198a90c6a0da4a68e17fc5038bb2	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_470	chapter3	第三章 · 过去与现在	S07B		1031	基生的儿子	dialogue	太好了！	ch3_469 | 基生的儿子 | 你刚才说“嗯”了吧！	ch3_471 | 基生的儿子 | 妈妈！爸爸说要带我们去海边玩！！		untranslated			082a02bf663b0049689ce506693f2792f57ee5b380ee1deda509808fe78aaca2	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_471	chapter3	第三章 · 过去与现在	S07B		1032	基生的儿子	dialogue	妈妈！爸爸说要带我们去海边玩！！	ch3_470 | 基生的儿子 | 太好了！	ch3_472 | 另一个房间的小男孩 | 我穿好泳衣了！出发吧——！！		untranslated			bb550243ba9a521ba58f02458fa3ee25970d3c69ff9a5cef4266a187cb59e24b	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
fin_155	final	最终章 · One Last Kiss	S07		1590	基生的儿子	dialogue	“爸爸！你好像很闲！！”	fin_154 | 旁白 | 基生被这个稚嫩的童声，吓了一跳。	fin_156 | 基生的儿子 | “闲的没事的话，带我去海边玩吧！海边海边海边！”		untranslated			33a690974523c9c9e0d4207fe0a075491d9e836e71ddcd2905321b01f293958e	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
fin_156	final	最终章 · One Last Kiss	S07		1591	基生的儿子	dialogue	“闲的没事的话，带我去海边玩吧！海边海边海边！”	fin_155 | 基生的儿子 | “爸爸！你好像很闲！！”	fin_157 | 基生的儿子 | “另外你要是不快点起床的话，妈妈又要骂你了哦？”		untranslated			685cce15c1b3eac3c5fe62128b0d9dbfcfa6065720953e28cec2477d9a0fe45b	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
fin_157	final	最终章 · One Last Kiss	S07		1592	基生的儿子	dialogue	“另外你要是不快点起床的话，妈妈又要骂你了哦？”	fin_156 | 基生的儿子 | “闲的没事的话，带我去海边玩吧！海边海边海边！”	fin_158 | 基生 | 嗯——？嗯——。		untranslated			6f8266a03d23ee40caeeb06b093d303358bc282d4ccf199e349d4b8a7bc23003	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
fin_159	final	最终章 · One Last Kiss	S07		1594	基生的儿子	dialogue	“你刚才说‘嗯’了吧！”	fin_158 | 基生 | 嗯——？嗯——。	fin_160 | 基生的儿子 | “太好了！”		untranslated			5c0cd9708438213e96cfd4b3f7e489a367bb5c34d063dee6fd5bd28221b77c02	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
fin_160	final	最终章 · One Last Kiss	S07		1595	基生的儿子	dialogue	“太好了！”	fin_159 | 基生的儿子 | “你刚才说‘嗯’了吧！”	fin_161 | 基生的儿子 | “妈妈！爸爸说要带我们去海边玩！！”		untranslated			2cf980569feb16e571cd80a6ae7ce3b1e968ec3ad9cef03438a85104fe281482	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
fin_161	final	最终章 · One Last Kiss	S07		1596	基生的儿子	dialogue	“妈妈！爸爸说要带我们去海边玩！！”	fin_160 | 基生的儿子 | “太好了！”	fin_162 | 另一个房间的小男孩 | “我穿好泳衣了！出发吧——！！”		untranslated			d26fe1c3871bd613dcf12c2c5733ab2102bf52f5ea96aec9b54e763009bdaf11	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
