line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
s01_intro2	prologue	序章 · 蓝色来电	S01		2	成田基生	dialogue	……又到傍晚了啊。	s01_intro | 旁白 | 都内某处老旧公寓的一间出租屋。窗帘未拉严，橘灰色夕阳从缝隙切入，照亮缓慢浮动的灰尘。六叠大的房间里，床垫直接铺在地上；墙角堆着没拆封的便利店饭团与叠到第三层的工作制服；墙面发霉的水痕像年轮	s01_intro3 | 系统 | 一部十年前购买的翻盖手机摊开在床头。转轴缠着透明胶带，外壳布满划痕	……もう夕方か。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		ba8ad9b36d36c938917477b3e5d78e61a82fff6a89f3912f067212ff9029d0a7	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
review_815b6be0-12e6-41d8-8f1b-676b70e1965c	prologue	序章 · 蓝色来电	S01		5	成田基生	dialogue	爱理……	s01_photo | 旁白 | 最后一封邮件附着一张2009年的海边合影。爱理坐在沙滩上比着不熟练的剪刀手，少年基生表情僵硬，耳朵却是红的。	s02a | 旁白 | 手机突然震动，屏幕跳出主管来电。老旧单调和弦响起，和刚才安静的文字界面格格不入，基生肩膀轻轻一抖。	愛理……	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		851daa87eae83798f77abfead74f1da694763315a7336279ae8066bc90047ac3	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02a2	prologue	序章 · 蓝色来电	S02		7	成田基生	dialogue	……你好。	s02a | 旁白 | 手机突然震动，屏幕跳出主管来电。老旧单调和弦响起，和刚才安静的文字界面格格不入，基生肩膀轻轻一抖。	s02b | 主管 | 啊——终于打通了。成田、你今天有排班的，你记得吗？你已经迟到好久了、又睡过头了吗？	……もしもし。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		ba1360f1f75dce350c4eab4f2304cd9e374518cc7cbfa014baf734eae57cf6ba	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02b2	prologue	序章 · 蓝色来电	S02		9	成田基生	dialogue	啊、是的……非常抱歉。	s02b | 主管 | 啊——终于打通了。成田、你今天有排班的，你记得吗？你已经迟到好久了、又睡过头了吗？	s02c | 主管 | 不是你道歉也没用啊。现在人手不足，你要是不能马上来，我们很困扰的啊。你知道你现在给其他员工添了很多麻烦吗？	あ、はい……本当にすみません。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		a4557bd8277bbc3d22630d4af800a27cc8715890bcf0ea753a80bca85b26b0f8	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02d	prologue	序章 · 蓝色来电	S02		11	成田基生	dialogue	……	s02c | 主管 | 不是你道歉也没用啊。现在人手不足，你要是不能马上来，我们很困扰的啊。你知道你现在给其他员工添了很多麻烦吗？	s02e | 主管 | ……请问、你在听吗？你都已经28了，已经不是学生了吧，不能再这样任意妄为了。下次再这样，我们真的要辞退你了。	……	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		3f28a972a4e65ad1a59dd9c95a83f19c5f9d8927886a9f615c708aaf0b559d69	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02f	prologue	序章 · 蓝色来电	S02		13	成田基生	dialogue	……我、今天就辞职。	s02e | 主管 | ……请问、你在听吗？你都已经28了，已经不是学生了吧，不能再这样任意妄为了。下次再这样，我们真的要辞退你了。	s02f2 | 主管 | 哈？等下——	……僕、今日で辞めます。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		b5b370d1cbe8a4e24442cf30034e9be3f4e48c84d8c56823fcda7b5db6c5a35e	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02h	prologue	序章 · 蓝色来电	S02		16	成田基生	dialogue	“都已经28了”啊……	s02g | 旁白 | 基生按下挂机键，忙音只响半声便被掐断。房间里重新只剩老旧风扇的声音——叶片每转一圈，发出“咔”的一声轻响。	s03a | 基生 | 十年前、高中毕业之后，我去了附近的大学。我没什么想做的事情，也无法融入他人之中。大二开始，我就没再去学校，然后直接退学了。	『もう二十八』、か……	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		5d8d1ae6b4e852717c97ef28e7ab476f5b89b9c0670b98f0e474a7eba88c17c3	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s03a	prologue	序章 · 蓝色来电	S03		17	基生	dialogue	十年前、高中毕业之后，我去了附近的大学。我没什么想做的事情，也无法融入他人之中。大二开始，我就没再去学校，然后直接退学了。	s02h | 成田基生 | “都已经28了”啊……	s03a2 | 基生 | 那之后我就一直四处打工，让自己起码不会饿死。如果呆不下去了，就辞职。一直重复着这样的生活。	十年前、高校を卒業したあと、近くの大学に進んだ。やりたいことなんて何もなかったし、人の輪にも入れなかった。二年になってからは大学にも行かなくなって、そのまま中退した。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		6a54bc6febda72829dc1abcef83f40ce4babccecaf083e5dc86353f9338c9bd9	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s03a2	prologue	序章 · 蓝色来电	S03		18	基生	dialogue	那之后我就一直四处打工，让自己起码不会饿死。如果呆不下去了，就辞职。一直重复着这样的生活。	s03a | 基生 | 十年前、高中毕业之后，我去了附近的大学。我没什么想做的事情，也无法融入他人之中。大二开始，我就没再去学校，然后直接退学了。	s03_family | 基生 | 对我来说早已不存在什么能称之为朋友的人了。连家人也早就……进了大学以后，爸爸和妈妈再也没有联系过我。	それからは、飢え死にだけはしないように、あちこちでバイトをしてきた。居づらくなれば辞める。そんな暮らしを、ずっと繰り返していた。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		c4c7a674c1f8f9e1076dd6fecc272d22d95baa2bb8e8041c0dc5e0f01497261b	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s03_family	prologue	序章 · 蓝色来电	S03		19	基生	dialogue	对我来说早已不存在什么能称之为朋友的人了。连家人也早就……进了大学以后，爸爸和妈妈再也没有联系过我。	s03a2 | 基生 | 那之后我就一直四处打工，让自己起码不会饿死。如果呆不下去了，就辞职。一直重复着这样的生活。	s03_bankbook | 旁白 | 一本银行存折上，大学入学后每月固定入账60,000日元，备注栏一片空白。	僕にはもう、友達と呼べる人なんていなかった。家族だって、とっくに……大学に入ってから、父さんも母さんも一度も連絡をくれなかった。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		06330f281b921759f57a221549935ad47a615040e20035a2e087549c20a2b175	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
