line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
ch3_184	chapter3	第三章 · 过去与现在	S03		785	日日谷	dialogue	成田先——生，明天晚上打工结束之后，大家要一起去喝酒，你要一起来吗？	ch3_183 | 同事们 | 大家今天都辛苦了！	ch3_185 | 基生 | 啊……我……就算了吧……		untranslated			c8e823d294309360b10e25c74a3db891e46da24829c743e331bc63bac7f26070	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_186	chapter3	第三章 · 过去与现在	S03		787	日日谷	dialogue	诶——！一起来嘛！也顺便欢迎成田先生回归工作嘛！	ch3_185 | 基生 | 啊……我……就算了吧……	ch3_187 | 基生 | ……真的对不起……我喝不了酒……		untranslated			6eb41fe1bbb29653aaf55a81405707e196eb0a2ea5038f138f0a3f610ee8748a	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_188	chapter3	第三章 · 过去与现在	S03		789	日日谷	dialogue	哦对了，把你的 LINE 账号告诉我吧！一直想要加你，都没有机会。	ch3_187 | 基生 | ……真的对不起……我喝不了酒……	ch3_189 | 旁白 | 基生额头冒出冷汗。		untranslated			bf06431d5ed36180d3f41569d211148eada8a4e9715b6ea5008287acc241d9d6	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_191	chapter3	第三章 · 过去与现在	S03		792	日日谷	dialogue	诶！难道你没有手机吗！？	ch3_190 | 基生 | 啊……那个，我的手机……	ch3_192 | 基生 | 也不是没有……		untranslated			8be9b51fe8a843e96225d5abf29e178de0a80d2b40ba4aa22cbecce8f864af92	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_196	chapter3	第三章 · 过去与现在	S03		796	日日谷	dialogue	诶！你才开始买智能机！？那你果然没有智能机吗！？居然能活在这个社会中呢！？	ch3_195 | 旁白 | 日日谷小姐听后露出震惊的表情。	ch3_197 | 日日谷 | 你是在体会归隐的那种感觉吗！？你是归隐派吗！？		untranslated			c198d1e7648d4aa01923f5598c030244c334b10b75690e73b127f7e3165fad77	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_197	chapter3	第三章 · 过去与现在	S03		797	日日谷	dialogue	你是在体会归隐的那种感觉吗！？你是归隐派吗！？	ch3_196 | 日日谷 | 诶！你才开始买智能机！？那你果然没有智能机吗！？居然能活在这个社会中呢！？	ch3_198 | 基生 | 才不是——了。为什么会这么想……？		untranslated			14c16aebc7ced6ddf494f442f8c37520aad338c9d10670b28147149f7d25d420	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_199	chapter3	第三章 · 过去与现在	S03		799	日日谷	dialogue	那你决定要买什么样的了吗？	ch3_198 | 基生 | 才不是——了。为什么会这么想……？	ch3_200 | 基生 | 没、还没决定……不如说我对手机根本一窍不通……有什么样的型号我也不知道……		untranslated			0d79222dcda70edf1554dd1f082657987ea66c6e3f9072da991bf08b74c52235	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_202	chapter3	第三章 · 过去与现在	S03		802	日日谷	dialogue	……那么，那么……	ch3_201 | 旁白 | 日日谷小姐听完后，脸上露出兴奋的笑容。	ch3_203 | 日日谷 | 既然成田君对手机一窍不通……那我就陪你一起去买手机吧！		untranslated			4b75fb9489ea78a9440269b1b3f1f639a95e60a811c3f321c623ea75dfdc5554	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_203	chapter3	第三章 · 过去与现在	S03		803	日日谷	dialogue	既然成田君对手机一窍不通……那我就陪你一起去买手机吧！	ch3_202 | 日日谷 | ……那么，那么……	ch3_204 | 基生 | 啊……那真是感谢。		untranslated			abf22fd8fd42ecfdc0c15c2d421aa0b03b6115c9c66deb61301a44fd7f6996b3	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_206	chapter3	第三章 · 过去与现在	S03		806	日日谷	dialogue	诶！	ch3_205 | 旁白 | 日日谷似乎很惊讶。	ch3_207 | 旁白 | 基生以为自己说了什么奇怪的话，小声地道歉。		untranslated			a191ff32a612b561ad63eb2834243790423236e60e90cfa17f4a7893957326e3	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_209	chapter3	第三章 · 过去与现在	S03		809	日日谷	dialogue	啊，你真的同意了？	ch3_208 | 基生 | 对不起，我刚才是不是说了什么奇怪的话……	ch3_210 | 旁白 | 她很快又高兴地拍板。		untranslated			49cdf7155edef0bebbcac2291046fec706d2d5c4ee5588e98f738cedd880208a	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_211	chapter3	第三章 · 过去与现在	S03		811	日日谷	dialogue	那，那么就，明天，酒会开始之前……	ch3_210 | 旁白 | 她很快又高兴地拍板。	ch3_212 | 日日谷 | 我们一起去买手机吧！		untranslated			62142bbb2b05e1fbd7fd06477145ad160a88ef26a272b5ff59533f9b036d0828	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_212	chapter3	第三章 · 过去与现在	S03		812	日日谷	dialogue	我们一起去买手机吧！	ch3_211 | 日日谷 | 那，那么就，明天，酒会开始之前……	ch3_213 | 日日谷 | 碰头的地方就选在——		untranslated			3037306a81239a7005219b45e1a00d64d87e4d5ba4bf86ea28f55f5dee290bd8	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_213	chapter3	第三章 · 过去与现在	S03		813	日日谷	dialogue	碰头的地方就选在——	ch3_212 | 日日谷 | 我们一起去买手机吧！	ch3_s04 | 旁白 | 不速之客 —— 肩膀上的“虫子”		untranslated			9f345fe7912a963f7456c653d1f1a8d473bd538acf0d5434ac3b1966af2bc19e	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_229	chapter3	第三章 · 过去与现在	S05		829	日日谷	dialogue	成田先——生！	ch3_228 | 旁白 | 下午，基生来到约定的商场附近。身后突然传来日日谷小姐的声音。	ch3_230 | 日日谷 | 我还想着先来等你，没想到你已经到了呢。		untranslated			8d2c273b16db5eeaf952d7eb7e292e8573de6b0a1f8f811014d8163ff6b28e40	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_230	chapter3	第三章 · 过去与现在	S05		830	日日谷	dialogue	我还想着先来等你，没想到你已经到了呢。	ch3_229 | 日日谷 | 成田先——生！	ch3_231 | 基生 | 啊……因为我在家里闲着没什么事情……		untranslated			dfc75623f502732955333f37c9e7eb7a5269aafb12592138bb468a0f56777b63	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_233	chapter3	第三章 · 过去与现在	S05		833	日日谷	dialogue	成田先生你还真是个不谙俗事的人呢……或者应该说，让人捉摸不透……？	ch3_232 | 旁白 | 日日谷小姐无奈地说道。	ch3_234 | 旁白 | 日日谷拿出自己挑好的几款手机海报，举到基生面前。		untranslated			327924b5b046037b26a65962953e8c71ff1409719f329cf88961a2012f3592b5	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_235	chapter3	第三章 · 过去与现在	S05		835	日日谷	dialogue	啊，对了！我给你选了好几个样式的……你觉得哪个好呢！	ch3_234 | 旁白 | 日日谷拿出自己挑好的几款手机海报，举到基生面前。	ch3_236 | 旁白 | 基生惊讶地看着这些款式，有些眼花缭乱。		untranslated			fa756536f403b41e720414a0f001160ce5802bce509e9d659fabc111f2a66587	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_239	chapter3	第三章 · 过去与现在	S05		838	日日谷	dialogue	恭喜你！拿到第一台智能手机！	ch3_model_after | 基生 | 这一台……以后也请多指教。	ch3_240 | 基生 | 好大……好不习惯……		untranslated			a1b6516ef9c6750dd82b322d134146969ee07099b2b8af032d41041306b54468	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
ch3_241	chapter3	第三章 · 过去与现在	S05		840	日日谷	dialogue	你很快就会习惯的！而且一旦习惯了，可就再也离不开了哦——	ch3_240 | 基生 | 好大……好不习惯……	ch3_242 | 基生 | 日日谷小姐，谢谢你各方面都这么照顾我。帮了我的大忙了。		untranslated			d496051525891d8bfa1698414fc48cc17716e7ae042f9a74cdd8564e81134abe	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
