line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
s01_intro2	prologue	序章 · 蓝色来电	S01		2	成田基生	dialogue	……又到傍晚了啊。	s01_intro | 旁白 | 都内某处老旧公寓的一间出租屋。窗帘未拉严，橘灰色夕阳从缝隙切入，照亮缓慢浮动的灰尘。六叠大的房间里，床垫直接铺在地上；墙角堆着没拆封的便利店饭团与叠到第三层的工作制服；墙面发霉的水痕像年轮	s01_intro3 | 系统 | 一部十年前购买的翻盖手机摊开在床头。转轴缠着透明胶带，外壳布满划痕	……もう夕方か。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		ba8ad9b36d36c938917477b3e5d78e61a82fff6a89f3912f067212ff9029d0a7	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
review_815b6be0-12e6-41d8-8f1b-676b70e1965c	prologue	序章 · 蓝色来电	S01		5	成田基生	dialogue	爱理……	s01_photo | 旁白 | 最后一封邮件附着一张2009年的海边合影。爱理坐在沙滩上比着不熟练的剪刀手，少年基生表情僵硬，耳朵却是红的。	s02a | 旁白 | 手机突然震动，屏幕跳出主管来电。老旧单调和弦响起，和刚才安静的文字界面格格不入，基生肩膀轻轻一抖。	愛理……	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		851daa87eae83798f77abfead74f1da694763315a7336279ae8066bc90047ac3	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02a2	prologue	序章 · 蓝色来电	S02		7	成田基生	dialogue	……你好。	s02a | 旁白 | 手机突然震动，屏幕跳出主管来电。老旧单调和弦响起，和刚才安静的文字界面格格不入，基生肩膀轻轻一抖。	s02b | 主管 | 啊——终于打通了。成田、你今天有排班的，你记得吗？你已经迟到好久了、又睡过头了吗？	……もしもし。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		ba1360f1f75dce350c4eab4f2304cd9e374518cc7cbfa014baf734eae57cf6ba	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02b	prologue	序章 · 蓝色来电	S02		8	主管	dialogue	啊——终于打通了。成田、你今天有排班的，你记得吗？你已经迟到好久了、又睡过头了吗？	s02a2 | 成田基生 | ……你好。	s02b2 | 成田基生 | 啊、是的……非常抱歉。	ああ、やっとつながった。成田、今日シフト入ってるの、覚えてる？ もうずいぶん遅刻してるけど、また寝坊したのか？	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		861c934dc8a6d807c9c58fd2d0592ab34149aa2fe6a35218a665f6027f067286	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02b2	prologue	序章 · 蓝色来电	S02		9	成田基生	dialogue	啊、是的……非常抱歉。	s02b | 主管 | 啊——终于打通了。成田、你今天有排班的，你记得吗？你已经迟到好久了、又睡过头了吗？	s02c | 主管 | 不是你道歉也没用啊。现在人手不足，你要是不能马上来，我们很困扰的啊。你知道你现在给其他员工添了很多麻烦吗？	あ、はい……本当にすみません。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		a4557bd8277bbc3d22630d4af800a27cc8715890bcf0ea753a80bca85b26b0f8	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02c	prologue	序章 · 蓝色来电	S02		10	主管	dialogue	不是你道歉也没用啊。现在人手不足，你要是不能马上来，我们很困扰的啊。你知道你现在给其他员工添了很多麻烦吗？	s02b2 | 成田基生 | 啊、是的……非常抱歉。	s02d | 成田基生 | ……	謝れば済むって話じゃないんだよ。今は人手が足りないんだ。すぐ来られないなら、こっちも困るんだよ。今、ほかの従業員にどれだけ迷惑をかけてるか、分かってる？	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		5e60e0715b84d36620928b0f022d0beef6ddda020f6aa5f2218b8390843b4436	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02d	prologue	序章 · 蓝色来电	S02		11	成田基生	dialogue	……	s02c | 主管 | 不是你道歉也没用啊。现在人手不足，你要是不能马上来，我们很困扰的啊。你知道你现在给其他员工添了很多麻烦吗？	s02e | 主管 | ……请问、你在听吗？你都已经28了，已经不是学生了吧，不能再这样任意妄为了。下次再这样，我们真的要辞退你了。	……	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		3f28a972a4e65ad1a59dd9c95a83f19c5f9d8927886a9f615c708aaf0b559d69	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02e	prologue	序章 · 蓝色来电	S02		12	主管	dialogue	……请问、你在听吗？你都已经28了，已经不是学生了吧，不能再这样任意妄为了。下次再这样，我们真的要辞退你了。	s02d | 成田基生 | ……	s02f | 成田基生 | ……我、今天就辞职。	……あの、聞いてる？ もう二十八なんだから、学生じゃないんだよ。いつまでもそんな勝手なことをされちゃ困る。次もこうなら、本当に辞めてもらうから。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		cebd7a22f1958ab7d77a655830544ebc41b822bb58b2256fcd920e3677874689	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02f	prologue	序章 · 蓝色来电	S02		13	成田基生	dialogue	……我、今天就辞职。	s02e | 主管 | ……请问、你在听吗？你都已经28了，已经不是学生了吧，不能再这样任意妄为了。下次再这样，我们真的要辞退你了。	s02f2 | 主管 | 哈？等下——	……僕、今日で辞めます。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		b5b370d1cbe8a4e24442cf30034e9be3f4e48c84d8c56823fcda7b5db6c5a35e	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
s02f2	prologue	序章 · 蓝色来电	S02		14	主管	dialogue	哈？等下——	s02f | 成田基生 | ……我、今天就辞职。	s02g | 旁白 | 基生按下挂机键，忙音只响半声便被掐断。房间里重新只剩老旧风扇的声音——叶片每转一圈，发出“咔”的一声轻响。	は？ ちょっと待っ——	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		057b3ffd33fd0ba6ea8e38153d0421e6e9a009febf27a031f2977454d4cbe1dd	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
