line_id	speech_text	translation_status	voice_role	source_speaker	chapter	scene	order	display_text
review_eced44bf-8dbf-4da8-aabc-c8b10d40d4b0	大好きだよ、基生。	draft	百合沢爱理	百合沢爱理	prologue	S11	84	最喜欢你了，基生。
ch1_006	あ・い・り。そうだよ。	draft	百合沢爱理	“爱理”	chapter1	S01	90	爱、理，没错哦。
ch1_008	さっきも名前を呼んでくれたのに……まさか、私のこと、忘れちゃった？	draft	百合沢爱理	“爱理”	chapter1	S01	92	你刚才还叫了我的名字呢……你不会，把我忘了吧？
ch1_013	だって、基生が……あなたが、私を呼んでくれたから。	draft	百合沢爱理	“爱理”	chapter1	S01	97	因为基生，因为你、呼唤了我啊。
ch1_014	基生、私、あなたのことが大好き。	draft	百合沢爱理	“爱理”	chapter1	S01	98	基生啊，我最喜欢你了。
ch1_017	ねえ、基生——私のこと、大好きだって言って。	draft	百合沢爱理	“爱理”	chapter1	S01	101	基生啊——告诉我，你最喜欢我了。
ch1_028	基生……	draft	百合沢爱理	“爱理”	chapter1	S02	109	基生……
ch1_030	基生！！ 生きてるの？！ 死んでないよね？！ 大丈夫？！	draft	百合沢爱理	“爱理”	chapter1	S02	111	基生！！你还活着？！你没有死？！还好吗？！
ch1_033	よかった……	draft	百合沢爱理	“爱理”	chapter1	S02	114	太好了……
ch1_040	うん、そうだよ？	draft	百合沢爱理	“爱理”	chapter1	S02	120	嗯、是呀？
ch1_043	え？ うわあ、基生、覚えてないの？！ 『愛理はあの時……』って言ったと思ったら、急に倒れちゃったんだよ！ びっくりして、どうすればいいか分からなくて、すごく不安だったんだから……	draft	百合沢爱理	“爱理”	chapter1	S02	123	诶？哇——！基生不记得了吗？！你说着“爱理在这之前……”然后就突然倒下了啊！我吓了一大跳，不知道应该怎么办才好，非常地不安……
