line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
s02b	prologue	序章 · 蓝色来电	S02		8	主管	dialogue	啊——终于打通了。成田、你今天有排班的，你记得吗？你已经迟到好久了、又睡过头了吗？	s02a2 | 成田基生 | ……你好。	s02b2 | 成田基生 | 啊、是的……非常抱歉。	ああ、やっとつながった。成田、今日シフト入ってるの、覚えてる？ もうずいぶん遅刻してるけど、また寝坊したのか？	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		861c934dc8a6d807c9c58fd2d0592ab34149aa2fe6a35218a665f6027f067286	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
s02c	prologue	序章 · 蓝色来电	S02		10	主管	dialogue	不是你道歉也没用啊。现在人手不足，你要是不能马上来，我们很困扰的啊。你知道你现在给其他员工添了很多麻烦吗？	s02b2 | 成田基生 | 啊、是的……非常抱歉。	s02d | 成田基生 | ……	謝れば済むって話じゃないんだよ。今は人手が足りないんだ。すぐ来られないなら、こっちも困るんだよ。今、ほかの従業員にどれだけ迷惑をかけてるか、分かってる？	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		5e60e0715b84d36620928b0f022d0beef6ddda020f6aa5f2218b8390843b4436	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
s02e	prologue	序章 · 蓝色来电	S02		12	主管	dialogue	……请问、你在听吗？你都已经28了，已经不是学生了吧，不能再这样任意妄为了。下次再这样，我们真的要辞退你了。	s02d | 成田基生 | ……	s02f | 成田基生 | ……我、今天就辞职。	……あの、聞いてる？ もう二十八なんだから、学生じゃないんだよ。いつまでもそんな勝手なことをされちゃ困る。次もこうなら、本当に辞めてもらうから。	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		cebd7a22f1958ab7d77a655830544ebc41b822bb58b2256fcd920e3677874689	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
s02f2	prologue	序章 · 蓝色来电	S02		14	主管	dialogue	哈？等下——	s02f | 成田基生 | ……我、今天就辞职。	s02g | 旁白 | 基生按下挂机键，忙音只响半声便被掐断。房间里重新只剩老旧风扇的声音——叶片每转一圈，发出“咔”的一声轻响。	は？ ちょっと待っ——	draft	AI 批量翻译初稿，需人工校对角色口吻与专名。		057b3ffd33fd0ba6ea8e38153d0421e6e9a009febf27a031f2977454d4cbe1dd	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_160	chapter3	第三章 · 过去与现在	S02		759	主管	dialogue	成田君！对不起啊，在你休息的时候还打扰你。	ch3_159 | 基生 | 你好，我是成田。	ch3_161 | 基生 | 不……没关系的。		untranslated			00cd3387b9d1d8530040bab6bab5c03f08139d917af014800b3af3bc128d06ac	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_162	chapter3	第三章 · 过去与现在	S02		761	主管	dialogue	其实今天要上班的那个孩子忽然身体不舒服，所以没办法来了。	ch3_161 | 基生 | 不……没关系的。	ch3_163 | 主管 | 所以想问一下，成田君你能不能来救个急……		untranslated			75242b88c96bb5ff439778eacaba12db01df04010ff402f23e1783056a178b29	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_163	chapter3	第三章 · 过去与现在	S02		762	主管	dialogue	所以想问一下，成田君你能不能来救个急……	ch3_162 | 主管 | 其实今天要上班的那个孩子忽然身体不舒服，所以没办法来了。	ch3_164 | 基生 | 啊……可以啊。我去。		untranslated			204a6bb5a6f18f7b22c0e4b6f9002ec07202679edcc04bd9b6956c325a48e99d	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_165	chapter3	第三章 · 过去与现在	S02		764	主管	dialogue	真的吗！？太谢谢你了！让你连续着工作两天，真是不好意思。	ch3_164 | 基生 | 啊……可以啊。我去。	ch3_166 | 基生 | 没什么……		untranslated			7d453539d3fd489f5dfe3fcc6533002aac60f96abcf1b0e99551844872a2a883	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_168	chapter3	第三章 · 过去与现在	S02		767	主管	dialogue	那你就来上 B 班吧——	ch3_167 | 基生 | 那个……我该什么时候去呢？	ch3_169 | 旁白 | 通话结束后，基生坐在昏暗的房间里，拿着手机发愣。他按下按键，手机屏幕突然跳出警告：		untranslated			ff4c4d9ebf62fb573c059bc4257b9acd1c10380ef046df26eb2fa6a7d7a7cb5d	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0385	heroine	女主视角 · 青	06-01		1379	主管	dialogue	成田君！对不起啊，在你休息的时候还打扰你。	her_0384 | 基生 | 你好，我是成田。	her_0386 | 基生 | 不...没关系的。		untranslated			405442b1747b3bd67d7c380f21cf20105394e47bda37913c4351f852bbc6498a	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
