line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
ch1_312	chapter1	第一章 · 失而复得的日常	S06		355	十屋	dialogue	前辈也好久不见！	ch1_311 | 基生 | 啊、十屋……君……好久不见……	ch1_313 | 小泪 | 成田前辈？		untranslated			01a6e61fe1636153c1d6d03701fd3a46aa9c8d5f90fb742140b6b630e136fe01	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_314	chapter1	第一章 · 失而复得的日常	S06		357	十屋	dialogue	对、没错——没错——小泪你之前不是来过我打工的那个居酒屋吗！他是在那里工作过的前辈！成田前辈超级——好——我超喜欢他的——！因为和成田前辈一起的时候，他不仅绝对不会对我生气，而且工作也很愉快！	ch1_313 | 小泪 | 成田前辈？	ch1_315 | 小泪 | 哼——嗯。		untranslated			944e2c3ca838a26b77c5104895587529de9a3943040ac50535ce46c72dfdfbd7	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_317	chapter1	第一章 · 失而复得的日常	S06		360	十屋	dialogue	成田前辈，我们来交换 LIME 吧！	ch1_316 | 基生 | 啊……这样……	ch1_318 | 基生 | LIME，是什么？		untranslated			dd9080da63e5af35b692e9e4780083f74b0997889574d695d72717b2f2ec12aa	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_319	chapter1	第一章 · 失而复得的日常	S06		362	十屋	dialogue	诶！？居然不知道？？是通讯 app 哦！	ch1_318 | 基生 | LIME，是什么？	ch1_320 | 基生 | 啊……因为我不是智能手机……		untranslated			222b4250987f7608cb74953c8fde44ff4ce3b55187bf60ad26a22650f383136a	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_321	chapter1	第一章 · 失而复得的日常	S06		364	十屋	dialogue	居然是翻盖手机！？前辈你是老爷爷吗！不过随便了，邮箱地址也可以哦。	ch1_320 | 基生 | 啊……因为我不是智能手机……	ch1_322 | 基生 | 喂、别自作主——		untranslated			606dee88b1c9299af3fc31bc847e4b8ca7bca9347eb0bdd882aa6fc952b80625	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_323	chapter1	第一章 · 失而复得的日常	S06		366	十屋	dialogue	谢谢前辈！	ch1_322 | 基生 | 喂、别自作主——	ch1_324 | 十屋 | 说来，成田前辈是一个人来这里玩的吗？感觉很帅气呢！		untranslated			42251ce16480e67bf4de073b079ca7da3e304b1ae1d34865e1483653cd54ecb3	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_324	chapter1	第一章 · 失而复得的日常	S06		367	十屋	dialogue	说来，成田前辈是一个人来这里玩的吗？感觉很帅气呢！	ch1_323 | 十屋 | 谢谢前辈！	ch1_325 | 基生 | 诶？不是啊。——我和女朋友一起……		untranslated			d201881797be63eede0909e91ad9e31fc68f2a000d1e900c4013f6c7fe082325	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_328	chapter1	第一章 · 失而复得的日常	S06		371	十屋	dialogue	真的吗！！成田前辈居然有女朋友吗！？诶——！！想见一面呢！！总感觉很意外呢，但真不愧是前辈呢！！是叫小爱理对吧！是去洗手间了吗？	ch1_327 | 基生 | 诶……？爱理……？	ch1_329 | 基生 | 不是……刚才她还在这里的……		untranslated			fc4a2a5c6e0fe650fbceceba371fada5972146c05dcd0f1ac727821b05ffc981	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_330	chapter1	第一章 · 失而复得的日常	S06		373	十屋	dialogue	真的吗！这里太暗了，完全没有注意到……小爱理可爱吗？要在这里等她回来吗？	ch1_329 | 基生 | 不是……刚才她还在这里的……	ch1_332 | 基生 | ……对不起我失陪了！		untranslated			08b53e47473393b63e868ea34cda71218ff4c18df51a1ede73ea39a5bd4387e0	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_333	chapter1	第一章 · 失而复得的日常	S06		375	十屋	dialogue	诶——	ch1_332 | 基生 | ……对不起我失陪了！	ch1_334 | 十屋 | 那么、请之后把小爱理的照片发过来让我看一下哦——！		untranslated			266525570ddfe3703cd1d35fc665db48727004258b211cd98bb6546aeba6e834	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch1_334	chapter1	第一章 · 失而复得的日常	S06		376	十屋	dialogue	那么、请之后把小爱理的照片发过来让我看一下哦——！	ch1_333 | 十屋 | 诶——	ch1_335 | 基生 | 才不会给你发啦！		untranslated			2a79130df704b8c6318a437250d1bba7ce9eae0f2e94f29e918d6f7b0cf118e4	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
