line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
her_0064	heroine	女主视角 · 青	02-01		1107	春	dialogue	哟——很久不见了——最近还好吗？	her_0063 | 旁白 | 傍晚的风把桌上的纸巾吹得翻了个身。三个人已经很久没有这样坐在一起了。	her_0065 | 八重 | 还不错哦——		untranslated			23d754262cae3a917a2c5fcc4953ddc7d52135f56311c6777e6ab29e234d54fb	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0069	heroine	女主视角 · 青	02-01		1112	春	dialogue	唔 嗯	her_0068 | 八重 | 啊——说起来春！那个帅哥前辈又联系你了！？那个前男友——！！	her_0070 | 若菜 | 哎——！！都分了吗！？为啥啊为啥啊！？		untranslated			ae288bdc7f54158ae8fd45d74c6bbaaa695e55d9eb6cfb9e9eb4b20091843741	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0071	heroine	女主视角 · 青	02-01		1114	春	dialogue	那、那个、但是有点奇怪…	her_0070 | 若菜 | 哎——！！都分了吗！？为啥啊为啥啊！？	her_0072 | 若菜 | 什么奇怪？让我看看		untranslated			d45ebba547e25426ae25f33df489f61f14f034ad8d05147bb34be970c8fc6236	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0073	heroine	女主视角 · 青	02-01		1116	春	dialogue	嗯、	her_0072 | 若菜 | 什么奇怪？让我看看	her_0074 | 春 | 我找找…		untranslated			722f08e170b16fcd9788a01a92eac44a6b50d511fedf32c582953402dcb26938	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0074	heroine	女主视角 · 青	02-01		1117	春	dialogue	我找找…	her_0073 | 春 | 嗯、	her_0075 | 春 | 这个…		untranslated			0f4d08af4632de2608fc4b74e6ce2ec571d88c0cc651b9d43e2d9963c865461b	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0075	heroine	女主视角 · 青	02-01		1118	春	dialogue	这个…	her_0074 | 春 | 我找找…	her_0076 | 八重 | 呜哇…		untranslated			46671e31f76e4ebb285dc0bd4da09f66a7eb811c6cb8edbf0dc74b0ca0b3b812	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0080	heroine	女主视角 · 青	02-01		1123	春	dialogue	啊啊	her_0079 | 八重 | 什么啊？现在还有人会发这种东西？真的是拓马前辈？一般不会有吧	her_0081 | 春 | 就、就是说啊！！		untranslated			17fa964ce2abda46f802ca85602e9c2db79b1e2d175ce38264c877bf97cdf4d8	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0081	heroine	女主视角 · 青	02-01		1124	春	dialogue	就、就是说啊！！	her_0080 | 春 | 啊啊	her_0082 | 春 | 就是说嘛...		untranslated			8b787db45724f06964377ec441f4304c8f3db3a42120b8e4fc00421dfaa77a46	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0082	heroine	女主视角 · 青	02-01		1125	春	dialogue	就是说嘛...	her_0081 | 春 | 就、就是说啊！！	her_scene_02_02 | heroine-card | 智能手机屏幕		untranslated			377beddabd5ea22ad537c49ba3c8046300dfaaaedbd2e534138d898137d104b7	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0098	heroine	女主视角 · 青	02-04		1139	春	dialogue	诶？	her_0097 | ？ | 小春	her_0099 | 旁白 | 她的面前站着“拓马”前辈。发型、身高、说话的语气，和记忆里一模一样。		untranslated			7542484464cd29eea6634e682856ceba774ba2118e5d4403d6b99070031498d1	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0101	heroine	女主视角 · 青	02-04		1142	春	dialogue	拓马前辈...为什么...	her_0100 | 旁白 | 只有眼睛不一样——那是一双蓝色的眼睛。	her_0102 | “拓马”前辈 | 我一直，都忘不掉小春你啊。我一直都很想见你哦。		untranslated			b0eaac35645b8ebad5409eacead90724e67077113da91a240a95d52b86ec91b6	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0104	heroine	女主视角 · 青	02-04		1145	春	dialogue	拓马前辈...我也是...我也，最喜欢你了...	her_0103 | “拓马”前辈 | 最喜欢你了。小春。	her_scene_02_05 | heroine-card | 咖啡店		untranslated			d0e9e98018ce7313125032fbe428248d991d93e54295887287810997425ea234	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
