line_id	speech_text	translation_status	voice_role	source_speaker	chapter	scene	order	display_text
s01_intro2	……もう夕方か。	draft	成田基生	成田基生	prologue	S01	2	……又到傍晚了啊。
review_815b6be0-12e6-41d8-8f1b-676b70e1965c	愛理……	draft	成田基生	成田基生	prologue	S01	5	爱理……
s02a2	……もしもし。	draft	成田基生	成田基生	prologue	S02	7	……你好。
s02b2	あ、はい……本当にすみません。	draft	成田基生	成田基生	prologue	S02	9	啊、是的……非常抱歉。
s02d	……	draft	成田基生	成田基生	prologue	S02	11	……
s02f	……僕、今日で辞めます。	draft	成田基生	成田基生	prologue	S02	13	……我、今天就辞职。
s02h	『もう二十八』、か……	draft	成田基生	成田基生	prologue	S02	16	“都已经28了”啊……
s03a	十年前、高校を卒業したあと、近くの大学に進んだ。やりたいことなんて何もなかったし、人の輪にも入れなかった。二年になってからは大学にも行かなくなって、そのまま中退した。	draft	成田基生	基生	prologue	S03	17	十年前、高中毕业之后，我去了附近的大学。我没什么想做的事情，也无法融入他人之中。大二开始，我就没再去学校，然后直接退学了。
s03a2	それからは、飢え死にだけはしないように、あちこちでバイトをしてきた。居づらくなれば辞める。そんな暮らしを、ずっと繰り返していた。	draft	成田基生	基生	prologue	S03	18	那之后我就一直四处打工，让自己起码不会饿死。如果呆不下去了，就辞职。一直重复着这样的生活。
s03_family	僕にはもう、友達と呼べる人なんていなかった。家族だって、とっくに……大学に入ってから、父さんも母さんも一度も連絡をくれなかった。	draft	成田基生	基生	prologue	S03	19	对我来说早已不存在什么能称之为朋友的人了。连家人也早就……进了大学以后，爸爸和妈妈再也没有联系过我。
s03_family2	残ったのは、何事もなかったみたいに毎月口座へ振り込まれる六万円だけだ。	draft	成田基生	成田基生	prologue	S03	21	只剩下每个月若无其事汇入我账户的6万日元。
s04a	……全部、消そう。	draft	成田基生	成田基生	prologue	S04	22	……都删掉吧。
s04_sent	……うん。今日も、送信失敗。	draft	成田基生	成田基生	prologue	S04	23	……嗯。今天也是，发送失败。
s04_cycle1	高校を卒業してから、彼女とは二度と連絡が取れなくなった。いつからか僕は、愛理に毎日、届くはずのないメールを送るようになった。毎日、送信失敗の表示が出るのを待つことさえ習慣になった。そうやって、何度も、何度も。	draft	成田基生	基生	prologue	S04	24	高中毕业以后，我就再也没能和她联系上。不知道从什么时候开始，我每天都会给爱理发这些无法发送成功的邮件。甚至每天，我都会等系统提示我发送失败。就这样，一遍，又一遍。
s04_cycle2	最初は、愛理が見ていないだけかもしれないと思った。あいつ、どこか抜けてたから。携帯を落としたのかもしれない。あるいは、僕の連絡先を登録していなかっただけかもしれない……	draft	成田基生	基生	prologue	S04	25	一开始我还想，没准只是爱理没看到——她总是少根筋嘛。没准是手机掉了，或者，只是没存我的联系方式……
s04_empty	でも、完全に連絡が途絶えたあと、僕はすぐに彼女の家へ行った。そこに残っていたのは、こんな空っぽの抜け殻だけだった。	draft	成田基生	基生	prologue	S04	26	但是，等我彻底和她失去联络之后，我马上就找去了她家里。那里只剩下这样一个空壳。
s04_doubt1	愛理は、本当に存在していたのか？ ……それとも、彼女は僕の妄想だったのか？ いや、愛理と付き合っていたこと自体が、僕の妄想だったんじゃないか？	draft	成田基生	基生	prologue	S04	27	爱理真的曾经存在过吗？……还是说，她这个人，其实是我的妄想？还是说，我和爱理曾交往过这件事本身，才是我的妄想呢？
s04_doubt2	でも……愛理との思い出は、確かにこの携帯の中に残っている。そんな疑いは馬鹿げているように思えた。それでも、僕にはどうすることもできなかった。	draft	成田基生	基生	prologue	S04	28	但是……我和爱理的回忆，确实存在于这部手机里。那些疑惑仿佛是那么愚蠢，但我又别无办法。
s04_prayer	……いっそ、全部僕の妄想だったほうが、まだよかったのかもしれない。	draft	成田基生	成田基生	prologue	S04	29	……倒不如，全都是我的妄想，可能还好一点。
s05a	愛理、元気にしてる？ 基生だよ。愛理が今どこにいるのか、分からないけど……	draft	成田基生	成田基生	prologue	S05	32	爱理，你还好吗？我是基生。虽然不知道爱理现在在哪里……
s05c2	……あ、はい。今行きます。	draft	成田基生	成田基生	prologue	S05	35	……啊好的，马上就来。
s05f	……二〇三号室、馬場さん？ これ、下の階の荷物じゃないか。	draft	成田基生	成田基生	prologue	S05	38	……203，马场先生？这是楼下的快递吧。
s05f2	……配達先、間違えてる。	draft	成田基生	成田基生	prologue	S05	39	……是送错了啊。
s05h	なんなんだよ、あの配達員……	draft	成田基生	成田基生	prologue	S05	41	搞什么啊，这个快递员……
s05k	波の着信音、青い光……	draft	成田基生	基生	prologue	S05	44	海浪的铃声，蓝色的光……
s05l	あれは、愛理だけに設定した着信音だ。	draft	成田基生	基生	prologue	S05	45	那是只属于爱理的来电设置。
s06_react1	どうして……ありえない……なんで……	draft	成田基生	成田基生	prologue	S06	47	为什么……不可能……怎么会……
s06_react2	さっきまで、一通も送れなかったメール。僕が十年間、ずっと、ずっと送り続けたメールが……	draft	成田基生	基生	prologue	S06	48	到刚才为止、一次都没有发出去过的邮件。我一直、一直发了十年的邮件……
s06_white_kio1	とうとう、頭がおかしくなったのかもしれない。	draft	成田基生	基生	prologue	S06	50	也许我终于疯了吧。
s06_white_kio2	きっとそうだ。これは全部、悪い夢なんだ。全部、妄想なんだ。目が覚めたら……	draft	成田基生	基生	prologue	S06	51	一定是这样的。这全部都是一场噩梦。全都是妄想。等醒来以后……
s06_memory	目が覚めたら、僕はまだ高校生で、愛理がまた海へ行こうって誘ってくれるかもしれない……	draft	成田基生	基生	prologue	S06	52	等我醒来以后，也许会发现我还是个高中生，爱理又约我去海边玩……
s06_break1	僕は、ずっと……	draft	成田基生	基生	prologue	S06	53	我一直……
s06_break2	はは……全部、捨ててしまおう。携帯も、ほかのものも、何もかも……	draft	成田基生	基生	prologue	S06	54	哈哈……把这些、全部都扔了吧，手机也好、其他也好……
s06_throw2	……やっぱり、できない。	draft	成田基生	成田基生	prologue	S06	56	……果然，做不到啊。
s07c	このトンネルを抜ければ、近くの海岸に出る。……何もない。誰も来ない。	draft	成田基生	基生	prologue	S07	60	穿过这个隧道，就能到附近的海岸。……什么都不会有的。谁也不会来。
s08a	……ここは、僕と愛理が最後に一緒に遊びに来た場所だ。	draft	成田基生	成田基生	prologue	S08	62	……这里是，我和爱理，最后一次一起去玩的地方。
s08b	愛理……もう一度だけ、最後に見せてくれ……	draft	成田基生	成田基生	prologue	S08	63	爱理……让我再、最后看一次……
s08d	おかしい……このメール、下にまだ続きが……	draft	成田基生	成田基生	prologue	S08	65	奇怪……这封邮件，怎么下面还有……
s09_found	これは……何だ？	draft	成田基生	成田基生	prologue	S09	66	这是什么……？
s09_home	……やっぱり、何もない。誰も来ない。	draft	成田基生	成田基生	prologue	S09	68	……果然，什么都不会有的。谁也不会来。
s10c	——っ！ ……何だ、これ……気持ち悪い……	draft	成田基生	成田基生	prologue	S10	71	——！……这是什么……好恶心……
s10g	……	draft	成田基生	成田基生	prologue	S10	75	……
s11a2	……愛理……？	draft	成田基生	成田基生	prologue	S11	77	……爱理……？
s11b	そんなはずない……愛理……どうして？ ありえない……愛理？ 彼女のはずがない……そんなはずない……愛理のはずがない……ありえない……ありえない……	draft	成田基生	基生	prologue	S11	79	怎么可能……爱理……为什么？这不可能……爱理？不可能会是她……这不可能……不可能是爱理……这不可能……不可能……
s11b2	だって、だって愛理は——	draft	成田基生	基生	prologue	S11	80	因为、因为爱理她——
s11d2	……愛理。	draft	成田基生	成田基生	prologue	S11	85	……爱理。
ch1_005	あ……あい……	draft	成田基生	基生	chapter1	S01	89	爱……爱……
ch1_010	忘れるわけない……僕は一度だって、愛理のことを忘れたことなんてない……一度も……	draft	成田基生	基生	chapter1	S01	94	怎么可能忘记……我从来没有、忘记过爱理，从来没有啊……
ch1_011	なあ、愛理は今まで、いったい何をしてたんだ？ どこにいたんだ？ どうしてまだ制服を着てるんだ……僕はずっと、愛理と連絡を取りたかった。この十年間……ずっと……	draft	成田基生	基生	chapter1	S01	95	我说啊，爱理在这之前，到底都在干什么？到底去哪儿了？为什么还穿着校服……我一直、想要联系上爱理啊。这十年来……一直……
ch1_012	愛理、どうして……どうして今になって……	draft	成田基生	基生	chapter1	S01	96	爱理，为什么、为什么现在才……
ch1_015	うん……うん、僕も……でも……愛理、どうしたんだ？	draft	成田基生	基生	chapter1	S01	99	嗯……嗯、我也是……但是……爱理，你怎么了？
ch1_019	うわあああああっ！！！	draft	成田基生	基生	chapter1	S01	103	呜哇啊————！！！
ch1_032	い、生きてる！ 死んでない！ 僕は大丈夫だ！！	draft	成田基生	基生	chapter1	S02	113	还、还活着呢！没死呢！我没事！！
ch1_039	あ、愛理……昨日……僕たち、海にいたんだよな？	draft	成田基生	基生	chapter1	S02	119	爱、爱理……昨天……我们两个，是在海边对吧？
ch1_041	……海で再会して、それから、どうなったんだ？ 僕たちはどうやって……家に帰ってきたんだ。	draft	成田基生	基生	chapter1	S02	121	……在海边重逢，然后，后来怎么了？我们是怎么……回到家的。
ch1_042	どうして昨夜『家に帰った』記憶がないんだ？ 海辺からこのアパートまでの間だけ、どうしても思い出せない空白がある。	draft	成田基生	基生	chapter1	S02	122	我为什么没有昨晚“回家”的记忆？从海边到出租屋之间，存在一段无论如何也想不起来的空白。
ch1_049	……いや、こういう時は普通……救急車を呼ぶんじゃないか？ 助けてくれたのはありがたいけど……僕、ずっと意識がなかったんだろ？	draft	成田基生	基生	chapter1	S02	127	……不是，这种情况下一般应该……叫救护车吧？虽然很感谢你……但我一直在昏迷中？对吧？
ch1_053	ん？ ああ、少し。	draft	成田基生	基生	chapter1	S02	131	嗯？啊，有点。
ch1_057	確かに高校の頃は、馬鹿みたいに毎日食べてたな……青春だなあ。あ、でも今はチョココロネじゃなくていいよ……	draft	成田基生	基生	chapter1	S02	134	确实，高中的时候像个傻子一样，天天都在吃……青春啊——啊，那个，现在就不用巧克力螺了……
ch1_065	いや……何でもない。	draft	成田基生	基生	chapter1	S02	139	不……什么事都没有。
ch1_082	ん？	draft	成田基生	基生	chapter1	S03	152	嗯？
ch1_084	え？	draft	成田基生	基生	chapter1	S03	154	诶？
ch1_086	いや、違う！ 嫌ってわけじゃないんだ……	draft	成田基生	基生	chapter1	S03	156	不，没有！倒也不是不愿意……
ch1_088	で、でも……	draft	成田基生	基生	chapter1	S03	158	但、但是……
ch1_090	ぼ、僕もそう思ってる！ でも、うちは狭いし、面白いものも何もないし……古いゲームなら少しあるけど……	draft	成田基生	基生	chapter1	S03	160	我、我也是这么想的！但我家很小，也没什么有趣的东西……倒是有一些很老的游戏……
ch1_092	！	draft	成田基生	基生	chapter1	S03	162	！
ch1_094	あ……うん、分かった。愛理が気にしないなら……	draft	成田基生	基生	chapter1	S03	164	啊……嗯、好吧。只要爱理不介意……
ch1_098	夏休み……	draft	成田基生	基生	chapter1	S03	166	暑假……
ch1_100	『うん……』	draft	成田基生	基生	chapter1	S03	168	“嗯……”
ch1_102	『うん……』	draft	成田基生	基生	chapter1	S03	170	“嗯……”
ch1_104	『うん……』	draft	成田基生	基生	chapter1	S03	172	“嗯……”
ch1_106	……待て、どうして急に承諾したんだ……うちの……風呂場……最後に掃除したの、いつだったっけ？	draft	成田基生	基生	chapter1	S03	174	……等下，怎么突然就答应了……我家的……浴室……最后一次，是什么时候打扫的来着？
ch1_107	愛理！！ ごめん！！ うちの風呂場、すごく汚いんだ。ちょっと待ってくれ——	draft	成田基生	基生	chapter1	S03	175	爱理！！对不起！！我家的浴室很脏，你等一下——
ch1_110	あ……	draft	成田基生	基生	chapter1	S03	177	啊……
ch1_112	あ……愛理……ごめ……	draft	成田基生	基生	chapter1	S03	179	爱……爱理……对不……
ch1_115	本当にごめん……わざと覗こうとしたんじゃないんだ……	draft	成田基生	基生	chapter1	S03	182	真的非常对不起……我不是故意想偷看……
ch1_117	愛理をあんな汚い風呂場に入れちゃいけないと思っただけなんだ……ここを掃除するから、少し待っててくれ……	draft	成田基生	基生	chapter1	S03	184	我只是在想，不能让爱理进那么脏的浴室……我把这里打扫一下，你稍微等一下……
ch1_123	僕もシャワーを浴びてくる……ここで漫画でも読んで待ってて。	draft	成田基生	基生	chapter1	S03	190	我也去洗个澡……你在这里看看漫画等一会儿吧。
ch1_125	ん？ そうだな……	draft	成田基生	基生	chapter1	S03	192	嗯？是啊……
ch1_138	あ、もうこんな時間か……	draft	成田基生	基生	chapter1	S03	202	啊，都已经这个点了……
ch1_140	そうだ。何か食べるものを買いに行こう——	draft	成田基生	基生	chapter1	S03	204	对了。我们去买点吃的吧——
ch1_142	……『愛理』？	draft	成田基生	基生	chapter1	S03	206	……“爱理”？
ch1_148	あ……アイスはあとで取ろう……溶けちゃうから……	draft	成田基生	基生	chapter1	S04	211	啊……冰淇淋等下再拿……会化掉的……
ch1_151	愛理、どれが食べたい？	draft	成田基生	基生	chapter1	S04	213	爱理，想吃哪个？
ch1_153	相変わらず優柔不断だな。これはどう？ 愛理が好きそうだ。	draft	成田基生	基生	chapter1	S04	215	你还是那么选择困难症啊。这个怎么样？感觉你会喜欢。
ch1_162	あ、いや、なんというか……ちょっと、何て言えばいいのか……	draft	成田基生	基生	chapter1	S04	223	啊，不是，就感觉……有点，怎么说呢……
ch1_164	早く帰ろう、妹よ。	draft	成田基生	基生	chapter1	S04	224	快点回家吧，老妹。
ch1_167	気にするな！	draft	成田基生	基生	chapter1	S04	227	别管了！
ch1_172	いや、僕は大丈夫……カップ麺でいいのか？	draft	成田基生	基生	chapter1	S04	231	不，我没事……就吃杯面就行了吗？
ch1_174	はいはい……	draft	成田基生	基生	chapter1	S04	233	好的好的……
ch1_176	うんうん、いいよ。	draft	成田基生	基生	chapter1	S04	235	嗯嗯，好啊。
ch1_178	野乃？ ああ、愛理の従妹か……	draft	成田基生	基生	chapter1	S04	237	野乃？啊～是爱理的表妹吗……
review_ae6a8059-52f9-4db9-a2e1-0c555e94b731	どう見ても、僕たちは大人と子供だ。この数日間の『愛理』の姿や振る舞いが頭をよぎる——制服を着て、『夏休み』の話をして、風呂場で見えた身体もまだ少女のままだった……	draft	成田基生	基生	chapter1	S04	239	不论怎么看，我们都是大人和小孩。脑海中闪过“爱理”这几天的形象与行为——穿着制服，说着“暑假”，浴室里露出的身体依旧是少女的形态……
ch1_180	愛理は本当に、十年前に僕が知っていた姿のままだ。外見も、中身も、何もかも同じだ。	draft	成田基生	基生	chapter1	S04	240	爱理，真的还是十年前我知道的那副模样。不论是外表，还是内在，全部一模一样。
ch1_188	『愛理』の目に映る『僕』は、いったいどんな姿なんだ？ 『今の僕』をあまりにも自然に受け入れている——彼女に見えているのが、最初から二十八歳の成田基生ではないとしたら。	draft	成田基生	基生	chapter1	S04	241	爱理”眼中的“我”究竟是什么样子？她对“现在的我”接受得过于自然了——除非她看见的，从来就不是 28 岁的成田基生。
ch1_190	……愛理の目には、僕はいったいどんなふうに見えているんだろう。	draft	成田基生	基生	chapter1	S04	243	……在爱理的眼中，我究竟是什么样的呢。
ch1_192	うん……	draft	成田基生	基生	chapter1	S04	245	嗯……
review_50a8f20c-1917-4e68-8d3e-d85f9e414917	『外泊』か……確かに、高校の頃は僕も愛理もそれぞれ自分の家に住んでいた……今になって愛理とカップ麺を食べたり、映画を見たり、いろんなことを一緒にできるなんて、思ってもみなかった。	draft	成田基生	基生	chapter1	S04	248	“在外留宿”啊……确实，高中的时候我和爱理都是住在自己家里的……完全没想到事到如今，还能和爱理一起吃杯面、一起看电影、一起做各种各样的事。
ch1_196	そう考えると、どうしてもあることを意識してしまう——こればかりは、仕方ないよな……	draft	成田基生	基生	chapter1	S04	249	这么一思考，就禁不住意识到了某些事——这也是、没有办法的啊……
ch1_198	ん？	draft	成田基生	基生	chapter1	S04	251	嗯？
ch1_202	な……何か……するって……？	draft	成田基生	基生	chapter1	S04	254	做……做些……什么……？
ch1_204	愛理……	draft	成田基生	基生	chapter1	S04	256	爱理……
ch1_209	はあ……	draft	成田基生	基生	chapter1	S05	261	哈啊……
ch1_210	結局、あれから僕は何もしなかった。あの夜、『愛理』にそう聞かれた僕は、慌てて『一緒にゲームをしよう』と言った。『愛理』は喜んで応じてくれた。それから僕たちは、毎日朝までゲームをした。	draft	成田基生	基生	chapter1	S05	262	结果从那之后，我还是什么都没做。那天晚上“爱理”问完那个问题后，我连忙说“一起玩游戏吧”，“爱理”便欣然接受了。之后，我们每天玩游戏都玩到早上。
review_5d7ff8ec-4a21-4bd0-ab50-e764b43d5f39	それから僕たちは、毎日朝までゲームをした。	draft	成田基生	基生	chapter1	S05	263	之后，我们每天玩游戏都玩到早上。
ch1_213	——愛理が僕の家に来てから、一週間が過ぎた。愛理と過ごす日々は楽しくて、懐かしくて、まるで高校生に戻ったように、愛理との『夏休み』を満喫していた。	draft	成田基生	基生	chapter1	S05	265	——爱理来到我家，已经过了一周了。和爱理在一起的日子，既开心又怀念，感觉自己好像变回了高中生一样，尽情享受着和爱理一同度过的“暑假”。
ch1_214	そう思ってはいた。けれど——毎日毎日、ゲームか映画ばかりだ。愛理は楽しそうだけど……	draft	成田基生	基生	chapter1	S05	266	虽然我是这么想的。不过——每天每天，不是游戏就是电影。虽然爱理好像很享受，可……
ch1_218	あ、おはよう。	draft	成田基生	基生	chapter1	S05	269	啊、早安。
ch1_220	あ、気にしなくていいよ。	draft	成田基生	基生	chapter1	S05	271	啊、没关系的哦。
ch1_222	うん、その……何て言えばいいかな……今日は、どこかへ遊びに行かないか。	draft	成田基生	基生	chapter1	S05	273	嗯、这个嘛……该怎么说呢……今天，要不要出去玩呢。
ch1_224	うん、あのさ……毎日家でゲームや映画ばかりじゃ、退屈なんじゃないかと思って。それで……	draft	成田基生	基生	chapter1	S05	275	嗯、那个啊……我是在想，每天都在家里玩游戏看电影什么的，会不会太无聊了。所以……
ch1_226	でも……	draft	成田基生	基生	chapter1	S05	277	可是……
ch1_228	……でも愛理、出かけるのが好きだっただろ……？	draft	成田基生	基生	chapter1	S05	279	……但是，爱理、你是喜欢出门的吧……？
ch1_230	！！ 愛理……ずっとそのことを気にしてたのか……	draft	成田基生	基生	chapter1	S05	281	！！爱理……一直都在意着那件事吗……
ch1_231	……僕のことは気にしなくていい。心配させてごめん……じゃあ、愛理が行きたいところへ行こう。せっかくの『夏休み』だからな。どこがいいかな。僕もよく分からないけど……遊園地とか映画館とか……いや、映画はやめよう。あ、この時期なら、ほかにも——	draft	成田基生	基生	chapter1	S05	282	……不用在意我的。让你担心真对不起……那么就去爱理你想去的地方吧。毕竟是难得的“暑假”呢。去哪里比较好呢，其实我也不是很清楚……游乐园或者电影院之类……不对，就不去看电影了吧。啊，这个时候的话，还有——
ch1_233	……！！ 服……服を買いに行こう！！	draft	成田基生	基生	chapter1	S05	284	……!!衣服……去买衣服吧！！
ch1_234	一人で行って、本当に大丈夫か？	draft	成田基生	基生	chapter1	S05	285	一个人去，真的没问题吗？
ch1_236	分かった……じゃあ何かあったら、すぐ電話して。	draft	成田基生	基生	chapter1	S05	287	好吧……那么要是有什么事情，马上给我打电话。
ch1_238	うん、行ってらっしゃい。	draft	成田基生	基生	chapter1	S05	289	嗯，一路走好。
ch1_240	『一人で行くのか？ 僕もついていくよ』	draft	成田基生	基生	chapter1	S05	291	“要一个人去？我也会跟着去的。”
ch1_242	『大丈夫。待ってるから』	draft	成田基生	基生	chapter1	S05	293	“没关系。我可以等的。”
ch1_244	『僕は本当に気にしないよ？』	draft	成田基生	基生	chapter1	S05	295	“我真的不介意哦？”
ch1_246	『そうじゃないの！！ ……中に着る服だってあるし……だから！！ 一人で見たいの！！ もう——！！』	draft	成田基生	基生	chapter1	S05	297	“不是那样了啦！！……也有穿在里面的衣服……所以说！！我想要一个人看啦！！真是的——！！”
ch1_256	あ、愛理、おかえり。	draft	成田基生	基生	chapter1	S05	303	啊，爱理，欢迎回来。
ch1_261	もう少し遠くまで行けば、最近できた大きな水族館がある……やっぱり、そこに……	draft	成田基生	基生	chapter1	S06	308	再稍微往远走一些的话，有最近刚建成的大水族馆……果然是去那边……
ch1_264	うん、分かった……	draft	成田基生	基生	chapter1	S06	311	嗯，好吧……
ch1_270	いいよ、いいよ。	draft	成田基生	基生	chapter1	S06	315	好啊好啊。
ch1_274	うーん……	draft	成田基生	基生	chapter1	S06	319	唔……
ch1_276	あれ？ この水槽……何もいないな。	draft	成田基生	基生	chapter1	S06	321	哎？这个水槽里……什么都没有呢。
ch1_278	……でも、よく見ると何かいるような気もする。	draft	成田基生	基生	chapter1	S06	323	……但仔细看的话，感觉又好像有着什么东西呢。
ch1_280	そうだな……でも、何も書いてないからこそ、何かいるんじゃないかって……そう思わないか？	draft	成田基生	基生	chapter1	S06	325	也是……不过，虽然这样——但正因为什么都没有写，所以才可能有著什么……不是会叫人这样想吗？
ch1_288	……次のところを見に行こう。	draft	成田基生	基生	chapter1	S06	332	……到下一个地方看看吧。
ch1_291	そうだな、きれいだ。	draft	成田基生	基生	chapter1	S06	335	是啊，好漂亮。
ch1_294	愛理、あのさ。僕、来週からまたバイトを始めるんだ。愛理には話してなかったけど、実はこの前、前のバイト先を——	draft	成田基生	基生	chapter1	S06	338	爱理，那个，我呢，从下周又要开始打工了。虽然没有和爱理你说过，其实我前不久被上个打工的地方——
ch1_296	え？	draft	成田基生	基生	chapter1	S06	340	诶？
ch1_298	僕は……僕は君から離れたいんじゃない……ただ……このままじゃ駄目だと思っただけなんだ……	draft	成田基生	基生	chapter1	S06	342	我不是想要……我不是想要……离开你啊……我只是……认为我这样子下去，是不行的……
ch1_303	大好きだよ……僕も……僕も愛理のことが、だ……大好きだ……	draft	成田基生	基生	chapter1	S06	346	最喜欢了哦……我……我也，对爱理，最……最喜欢……
ch1_306	うん、だい……すみません、僕も前を見てなくて。	draft	成田基生	基生	chapter1	S06	349	嗯，没……对不起，我这边也没有注意到。
ch1_309	え？	draft	成田基生	基生	chapter1	S06	352	诶？
ch1_311	あ、十屋……君……久しぶり……	draft	成田基生	基生	chapter1	S06	354	啊、十屋……君……好久不见……
ch1_316	あ……そう……	draft	成田基生	基生	chapter1	S06	359	啊……这样……
ch1_318	LIMEって、何？	draft	成田基生	基生	chapter1	S06	361	LIME，是什么？
ch1_320	あ……僕、スマートフォンじゃないから……	draft	成田基生	基生	chapter1	S06	363	啊……因为我不是智能手机……
ch1_322	おい、勝手に——	draft	成田基生	基生	chapter1	S06	365	喂、别自作主——
ch1_325	え？ 違うよ。——彼女と一緒に……	draft	成田基生	基生	chapter1	S06	368	诶？不是啊。——我和女朋友一起……
ch1_327	え……？ 愛理……？	draft	成田基生	基生	chapter1	S06	370	诶……？爱理……？
ch1_329	いや……さっきまでここにいたんだ……	draft	成田基生	基生	chapter1	S06	372	不是……刚才她还在这里的……
ch1_332	……ごめん、失礼する！	draft	成田基生	基生	chapter1	S06	374	……对不起我失陪了！
ch1_335	送るわけないだろ！	draft	成田基生	基生	chapter1	S06	377	才不会给你发啦！
ch1_339	愛理……	draft	成田基生	基生	chapter1	S06	379	爱理……
ch1_341	愛理！！ よかった……どうして急にいなくなったんだ……それに携帯も急に圏外になって……ずっと探してたんだよ。	draft	成田基生	基生	chapter1	S06	381	爱理！！太好了……为什么忽然就不见了啊……而且手机也突然没信号了……我一直在找你哦。
ch1_343	……愛理？	draft	成田基生	基生	chapter1	S06	383	……爱理？
ch1_345	え……ど、どうして怒ってるんだ？	draft	成田基生	基生	chapter1	S06	385	诶……为……为什么你生气了呢？
ch1_347	！？ どうしてそんなこと言うんだ？ さっきも言っただろ、ずっと君を探してたって。	draft	成田基生	基生	chapter1	S06	387	！？为什么这么说啊？刚才我都说了，直到现在都在找你吧？
