line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
ch3_457	chapter3	第三章 · 过去与现在	S07A		1014	ILY	dialogue	我是被人制造出来的‘ILY 病毒’……	ch3_456 | “爱理” | 请你不要害怕，听我说。	ch3_458 | ILY | ‘ILY’。		untranslated			4cbce089612d020aba7f1ef87dc5cb9c38dc8fb2aef68f5980486cc0c5ca7d4c	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
ch3_458	chapter3	第三章 · 过去与现在	S07A		1015	ILY	dialogue	‘ILY’。	ch3_457 | ILY | 我是被人制造出来的‘ILY 病毒’……	ch3_459 | 旁白 | 说完，“ILY”……“爱理”她，将关于她的、关于它们的事，告诉了我。		untranslated			8f5e4ed77886d0719224794307be51442bce4ec8768d7ba0f6865fdf3560ba8a	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0033	heroine	女主视角 · 青	01-01		1070	ILY	dialogue	唔——嗯…看起来都很好吃	her_0032 | 基生 | 爱理 想吃哪个？	her_0034 | 基生 | 你还是那么选择障碍啊。		untranslated			55197b2a3e535f6a35e0f8b5fdc2f0ac780867101c10620209ccda223c0160f3	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0036	heroine	女主视角 · 青	01-01		1073	ILY	dialogue	这个啊 好纠结啊	her_0035 | 基生 | 这个怎么样？感觉你会喜欢。	her_scene_01_02 | heroine-card | 便利店		untranslated			1526d7953a035fcc411796224790fe3f23e40ab93879dfa43f961a0af36e2b22	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0048	heroine	女主视角 · 青	01-03		1087	ILY	dialogue	虽...虽然是那样!可是...就像之前，在便利店里那样...基生，和我在一起的话，会被很多人看着，很讨厌的吧...？	her_0047 | 基生 | 但是，爱理，你是喜欢出门的吧...?	her_0049 | 旁白 | 如果在大庭广众之下把人“吃掉”，肯定会引起骚乱的吧。		untranslated			9e9ed3bc23c1495d2a27d4dd06bdd2ec212affa5fac7576b9e22ad19d2c8c569	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0050	heroine	女主视角 · 青	01-03		1089	ILY	dialogue	因为我...只带了学校的制服，果然还是不想让基生感到...为难...	her_0049 | 旁白 | 如果在大庭广众之下把人“吃掉”，肯定会引起骚乱的吧。	her_0051 | 基生 | 衣服...去买衣服吧！！		untranslated			81eea115d90f8929e26ac150f9cd54757e1c77fd2833f5a5fb3417b8b1c2c58d	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0054	heroine	女主视角 · 青	01-04		1094	ILY	dialogue	嗯！没事的！	her_0053 | 基生 | 一个人去，真的没问题？	her_0055 | 基生 | 好吧...那么要是有什么事情，马上给我打电话。		untranslated			b9344a6e965c24e479bc424d00ab340dd9f74244fbbf8b0645c1bca639fa6248	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0056	heroine	女主视角 · 青	01-04		1096	ILY	dialogue	嗯，那么我出门了。	her_0055 | 基生 | 好吧...那么要是有什么事情，马上给我打电话。	her_0057 | 基生 | 嗯，一路走好。		untranslated			0869bab9830dfa0d4843c1e58913be2b5d66002256f0e7680826846c23269374	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0116	heroine	女主视角 · 青	03-01		1156	ILY	dialogue	嗯，我回来了。	her_0115 | 基生 | 爱理，欢迎回来。	her_scene_03_02 | heroine-card | 水族馆·全景水槽前		untranslated			4601749a59424adf03e01a0e3c83d082688869016c41a719c6da6e947d33c5da	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0150	heroine	女主视角 · 青	04-01		1194	ILY	dialogue	基生你，不是只想着我的事情吗？基生的‘想’到底是什么？	her_scene_04_01 | heroine-card | 水族馆·空水槽前	her_0151 | ILY | 基生的‘想’就是丢下我独自一个人待着吗？就连一句我想听的话都说不出来。这就是基生的‘想’吗？		untranslated			e4e8c7ef711e19431720f6ea14c5c68e192b0923f6a5654f04c5633aa05ea6af	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0151	heroine	女主视角 · 青	04-01		1195	ILY	dialogue	基生的‘想’就是丢下我独自一个人待着吗？就连一句我想听的话都说不出来。这就是基生的‘想’吗？	her_0150 | ILY | 基生你，不是只想着我的事情吗？基生的‘想’到底是什么？	her_0152 | 基生 | 什么啊...这算...		untranslated			38e2c1ffbd8ed42c57a1a972b02b567661f02733756d940d650831352c61f9de	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0158	heroine	女主视角 · 青	04-01		1202	ILY	dialogue	什...说是什么...	her_0157 | 基生 | 爱理说的‘最喜欢你了’算什么啊！？	her_scene_04_02 | heroine-card | 程序错乱		untranslated			58046148c44ea8cb3a27ed468099c5eccb853f469b0a65161e268b6e00b1ac6f	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0168	heroine	女主视角 · 青	04-03		1213	ILY	dialogue	最喜欢你了哦，基生	her_0167 | 旁白 | “我”成为了“爱理”，做了一切我能做的，企图去引诱他说出那句话。	her_0169 | 旁白 | 来吧，用你的声音		untranslated			6bf4ed1a040ac4c3febe57e22a0e4f8554ada990be1a1f9b9b1210f2e5c9c3c0	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0170	heroine	女主视角 · 青	04-03		1215	ILY	dialogue	那么，基生呢？	her_0169 | 旁白 | 来吧，用你的声音	her_0171 | 旁白 | 快一点，快一点		untranslated			56e931d1e34cc5852bcb4e6123d8381f2a92fc29ed6e33d3f9f0f98f274b6fa5	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0181	heroine	女主视角 · 青	04-04		1226	ILY	dialogue	嗯……嗯嗯！可能是有点……贫血的样子。	her_0180 | 基生 | 没事儿吧？身体没问题了吗？	her_0182 | 基生 | 贫血吗……		untranslated			c7fee3a68e885e969ebcc2ee12c2d0e056970664734833588f6a41a38165f411	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0185	heroine	女主视角 · 青	04-05		1231	ILY	dialogue	没问题，没问题！	her_0184 | 旁白 | ILY坐在床沿，双手拘谨地并拢在膝前。她低着头，头发遮住了双眼，十分紧张。	her_0186 | ILY | 比起这个，那个……我……		untranslated			61586dae976e1b198092045a242f3a01958368f908ca96479b0b5b035551816a	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0186	heroine	女主视角 · 青	04-05		1232	ILY	dialogue	比起这个，那个……我……	her_0185 | ILY | 没问题，没问题！	her_0187 | ILY | 我……		untranslated			10b7d5d33780930211493195d0e45d5fbcbc7fc8e89d5c227f6ccf1be796b454	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0187	heroine	女主视角 · 青	04-05		1233	ILY	dialogue	我……	her_0186 | ILY | 比起这个，那个……我……	her_0191 | 基生 | 爱理，		untranslated			6fce69187b5acb783437e498134d10c9016198926a6b3008e4fd44c1448f05dc	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0198	heroine	女主视角 · 青	04-06		1242	ILY	dialogue	……基生。	her_0197 | 基生 | 真的非常对不起……	her_0199 | ILY | 放开我。		untranslated			7d6ae607f1778064b1509d4b53e6ad6fffbf9806e61d6431abd949097ab11fbd	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0199	heroine	女主视角 · 青	04-06		1243	ILY	dialogue	放开我。	her_0198 | ILY | ……基生。	her_0200 | 基生 | 诶，那个……对不起！我……！		untranslated			644f1e56b7ec721a9fc9b0794bc2ea54922e1ed1feaabff163315f8be816da74	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0202	heroine	女主视角 · 青	04-06		1246	ILY	dialogue	……不，不是那样。	her_0201 | 基生 | 难道是那时候，身上有哪里受伤了吗……！？	her_0203 | 旁白 | 她脸颊通红，神情慌乱。基生看到她的异常反应，凑近了些。		untranslated			35fbdfdca79cd588b03eab1a534777df2614178c9d8b97a0bfff11d924fca806	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0205	heroine	女主视角 · 青	04-06		1249	ILY	dialogue	不、不是哦！我没事的！	her_0204 | 基生 | 发、发烧了……！？	her_0206 | ILY | 我也不知道自己怎么了！？		untranslated			422d678503219c16d24ba725bea94674f2b4a5c949aef2cc34fc96551b3148b3	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0206	heroine	女主视角 · 青	04-06		1250	ILY	dialogue	我也不知道自己怎么了！？	her_0205 | ILY | 不、不是哦！我没事的！	her_0208 | ILY | 为什么呢...		untranslated			77b60985e715029b88363aed2f9b2ddde7793b3bcd613aaf8c2f84812317cb3a	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0208	heroine	女主视角 · 青	04-06		1251	ILY	dialogue	为什么呢...	her_0206 | ILY | 我也不知道自己怎么了！？	her_scene_04_07 | heroine-card | 未遂的告白		untranslated			1729d9f6cdf6fa0419859591c7bc70a87350f79fd141b452721eb03dcb165b99	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0221	heroine	女主视角 · 青	04-08		1260	ILY	dialogue	不行！！	her_0220 | 基生 | 最喜……	her_0222 | ILY | 不能说……！		untranslated			a9bc5ca60c70fa9aefd0b134fdad240fef245be4dc24d655c570994da79b86a4	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0222	heroine	女主视角 · 青	04-08		1261	ILY	dialogue	不能说……！	her_0221 | ILY | 不行！！	her_0223 | ILY | 啊...我……我现在已经没事啦！		untranslated			7ee183939dfd00f9a4137fee49ac9dd979574b2fbdc91349774baaa2a3298c26	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0223	heroine	女主视角 · 青	04-08		1262	ILY	dialogue	啊...我……我现在已经没事啦！	her_0222 | ILY | 不能说……！	her_0224 | ILY | 所以，我稍微，去外面！呼吸一下空气！！		untranslated			5b7d4852aabcc94eb12d8a085b2cf960c845102cf3098cd9861793e519f090c9	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0224	heroine	女主视角 · 青	04-08		1263	ILY	dialogue	所以，我稍微，去外面！呼吸一下空气！！	her_0223 | ILY | 啊...我……我现在已经没事啦！	her_0225 | 基生 | 诶？爱……爱理？		untranslated			f558a5ba8819bc127cc8d67a1b8d5ed4a7bcaf0fc11c5cf31a3a5a21de764f1a	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0226	heroine	女主视角 · 青	04-08		1265	ILY	dialogue	唔~~~看那边！！	her_0225 | 基生 | 诶？爱……爱理？	her_0227 | 旁白 | 房间里只剩下他自己，和那扇被风轻轻吹动的窗帘。		untranslated			a1b15c7d8176a74bfd34e92ba068c07666dff9ed2d481a626d2a67f7d5732772	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0229	heroine	女主视角 · 青	04-09		1269	ILY	dialogue	果然，我变不回去了...	her_0228 | 旁白 | ILY来到了第一次见面的蓝色海边，沉默良久，然后自言自语道。	her_0235 | 旁白 | ILY的手指轻轻点在自己的嘴边。		untranslated			1e48a9303e5073a9c0763a1cb24850b94b47807614f29afd7182d9460a0f3bc7	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0239	heroine	女主视角 · 青	04-09		1271	ILY	dialogue	我...到底是怎么了呢...	her_0235 | 旁白 | ILY的手指轻轻点在自己的嘴边。	her_chapter_05 | heroine-card | 第五章｜江之岛		untranslated			095a2ae5a89ff79f7901f40489d86164936cb2454240ac466a526b7e6cdee97e	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0243	heroine	女主视角 · 青	05-01		1277	ILY	dialogue	嗯……是呢。	her_0242 | 基生 | 今天是个晴天，真不错呢。	her_0244 | 基生 | 走吧，爱理。		untranslated			7b02eea336e5b71c152baf5c74a70dcaf06c6b23a6519e0e4d6fd7f1e027da29	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0245	heroine	女主视角 · 青	05-01		1279	ILY	dialogue	嗯！	her_0244 | 基生 | 走吧，爱理。	her_scene_05_02 | heroine-card | 紫阳花小路		untranslated			d551292c6c701f889324e75f99b05b3b8aaedf2874e4c2b3e9ad7b253032575d	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0247	heroine	女主视角 · 青	05-02		1282	ILY	dialogue	基生、这里……	her_0246 | 旁白 | ILY停下脚步，看着周围的花木。	her_0248 | 基生 | 啊啊……好怀念啊。		untranslated			2bfa09242eff26e4f13a64e5344bab2cb289ce0cdd20aff5a1152d6e7c9e6129	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0256	heroine	女主视角 · 青	05-02		1290	ILY	dialogue	这样啊……	her_0254 | 旁白 | ILY脑中闪过基生手机相册里的照片，是他高中时代拍下的。照片里的爱理站在同一个地方，面带笑容。	her_0257 | 基生 | ……明年、再一起来吧。		untranslated			8b4343af396b51073cca3adf0c673889ec0fcfef82c8bf45d7ed4617d3a909cc	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0259	heroine	女主视角 · 青	05-02		1293	ILY	dialogue	嗯……	her_0258 | 基生 | 明年6月份的时候。	her_0260 | ILY | 嗯！		untranslated			a345277ca0f15b0b625a94cd53671bc50a7b154efa1ef6b22960ae9fc4a1d375	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
her_0260	heroine	女主视角 · 青	05-02		1294	ILY	dialogue	嗯！	her_0259 | ILY | 嗯……	her_0261 | ILY | 约好了呢！		untranslated			e84bbef72dccee53895bb15e232c8d919865cca7ead732e74018b5f15c0d684b	dad15973cb4a107a5e0591c24ce8b1488a49e45181b2bef0ea24295dade8e3dd
