line_id	chapter	chapter_title	scene	route	order	speaker	kind	display_text	context_before	context_after	speech_text	translation_status	translation_note	pronunciation_note	source_fingerprint	source_revision
her_0065	heroine	女主视角 · 青	02-01		1108	八重	dialogue	还不错哦——	her_0064 | 春 | 哟——很久不见了——最近还好吗？	her_0066 | 八重 | 我们三个人真是很久没聚在一起了呢		untranslated			c31454d788c546956d7117b6951da37593fe0bfc695704c9a370aed2f5a5c968	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0066	heroine	女主视角 · 青	02-01		1109	八重	dialogue	我们三个人真是很久没聚在一起了呢	her_0065 | 八重 | 还不错哦——	her_0067 | 若菜 | 是啊——！		untranslated			ae9dcfa7dc3e7fbe4dc79a6589ea27e93fd178e927aa97f638764c29bf6b0b27	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0068	heroine	女主视角 · 青	02-01		1111	八重	dialogue	啊——说起来春！那个帅哥前辈又联系你了！？那个前男友——！！	her_0067 | 若菜 | 是啊——！	her_0069 | 春 | 唔 嗯		untranslated			4eda8b8e26788c03abd701dc577f6a54aa41b1ff89f95018a837a89ca2435e3f	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0076	heroine	女主视角 · 青	02-01		1119	八重	dialogue	呜哇…	her_0075 | 春 | 这个…	her_0077 | 若菜 | 呜哇…		untranslated			26362aa85978241ba56c7ae5cf167a4bf0d8d0ccf52f6cb7ee335de49c2a730b	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0079	heroine	女主视角 · 青	02-01		1122	八重	dialogue	什么啊？现在还有人会发这种东西？真的是拓马前辈？一般不会有吧	her_0078 | 若菜 | 那个…太奇怪了吧…虽然明白他还牵挂着春，但是——…还是算了吧	her_0080 | 春 | 啊啊		untranslated			9978812a863df2c195d0b4a164c7d4a59a20b9c959c27c41b8a038c8fada1dd4	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0090	heroine	女主视角 · 青	02-03		1135	八重	dialogue	我说，去哪里吃饭，决定好了吗？	her_scene_02_03 | heroine-card | 咖啡店——续	her_0091 | 若菜 | 嗯，不知道呢...说来，你有想吃的东西吗？我是肉食系的！		untranslated			835b0f3e4e5010eb3df3680043008e324fb07781e31c9e06cc16490ee701c087	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0105	heroine	女主视角 · 青	02-05		1147	八重	dialogue	啊，这边，或许不错...	her_scene_02_05 | heroine-card | 咖啡店	her_0106 | 若菜 | 不错呢！春觉得如何？		untranslated			c74def1295a7cedf657581dce55c5629867660c2a7a0e707d0da1f601f71dfb8	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0107	heroine	女主视角 · 青	02-05		1149	八重	dialogue	喂！春...哎？春呢？	her_0106 | 若菜 | 不错呢！春觉得如何？	her_0108 | 若菜 | 诶？回去了？		untranslated			c2c4e171ebe989b8e5b24d20dbbbeb1faf7c215ade82de8bb2b6d4a44c48e74b	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0109	heroine	女主视角 · 青	02-05		1151	八重	dialogue	不是不是，这也太急了吧。	her_0108 | 若菜 | 诶？回去了？	her_0110 | 若菜 | 也是呢...诶——难不成是迷路了？		untranslated			ebeb98a5dd39593d56313ad884b588d555470f989bc58bdf63c27928455148cf	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
her_0111	heroine	女主视角 · 青	02-05		1153	八重	dialogue	不会吧...	her_0110 | 若菜 | 也是呢...诶——难不成是迷路了？	her_chapter_03 | heroine-card | 第三章｜错乱		untranslated			6d60d5ab09f107174c9129875d20c226060903bc19a71a49255a1663dedb7681	707ba1c82dcdb9307ae9b809b15746a0585a5bda61f67b7ba74149f40b97fa8f
