line_id	speech_text	translation_status	voice_role	source_speaker	chapter	scene	order	display_text
ch3_002	ひ……久しぶりだね、基生君。	draft	成年爱理	爱理	chapter3	S01	633	很……很久不见了呢，基生君。
ch3_003	こんなところで会うなんて、びっくりしちゃった。	draft	成年爱理	爱理	chapter3	S01	634	居然在这种地方碰到，真是吓了我一跳呢。
ch3_005	今日は野乃ちゃんと来てるの……覚えてる？ 野乃ちゃん。	draft	成年爱理	爱理	chapter3	S01	636	我今天是和小野乃一起来的……你还记得吗？小野乃。
ch3_006	一緒に海を見に行かないかって、野乃ちゃんに誘われて、それで……	draft	成年爱理	爱理	chapter3	S01	637	因为小野乃问我要不要一起去看海，所以我就跟着来了……
ch3_008	あ、そうだ。野乃ちゃん、向こうで写真を撮ってくるって言ってたんだけど、まだ戻ってこないんだよね？	draft	成年爱理	爱理	chapter3	S01	639	啊，对了。小野乃说要去对面那个地方拍照，结果倒是到现在都还没有回来啦？
ch3_009	ふふ……昔と変わらないね。	draft	成年爱理	爱理	chapter3	S01	640	呵呵……她还是和以前一样呢。
ch3_020	それにしても、すごい偶然だね！ こんなこと、本当にあるんだね。	draft	成年爱理	爱理	chapter3	S01	644	话说回来，能遇见你真是太巧了呢！没想到真的会有这么巧的事呢。
ch3_022	……そういえば。	draft	成年爱理	爱理	chapter3	S01	646	……说起来啊。
ch3_023	基生君は、誰かと一緒に来てるの？	draft	成年爱理	爱理	chapter3	S01	647	基生君你，是跟人一起来的吗？
ch3_033	基生？	draft	成年爱理	爱理	chapter3	S01	651	基生？
ch3_038	あ、ごめん。懐かしくなっちゃって……つい、昔みたいに……	draft	成年爱理	爱理	chapter3	S01	655	啊，对不起。我觉得太怀念了……一不小心又像以前那样……
ch3_065	あのね……私、ずっと……基生君に、謝らなきゃいけないって、思ってたの。	draft	成年爱理	爱理	chapter3	S01	672	那个啊……我呢，一直……都认为，必须，和基生君你道个歉。
ch3_066	十年前のこと……今思えば、もっといい解決の仕方があったんだよね。	draft	成年爱理	爱理	chapter3	S01	673	10 年前的事情……现在想起来，是有更好的解决办法的。
ch3_069	でも、あの頃の私には、そんな余裕がなかった。	draft	成年爱理	爱理	chapter3	S01	675	但是、那个时候的我已经无暇顾及这些了。
ch3_070	もう、どうしようもなくて、自分がどうすればいいのか、全然分からなくて。	draft	成年爱理	爱理	chapter3	S01	676	我已经束手无策、完全不知道自己该怎么办才好。
ch3_074	だって、あの頃、基生の隣にいたのは、私じゃなかったから。	draft	成年爱理	爱理	chapter3	S01	678	毕竟、那个时候陪伴在基生身旁的人、并不是我。
ch3_075	あの頃、基生の隣にいたのは、	draft	成年爱理	爱理	chapter3	S01	679	那个时候陪伴在基生身旁的、
ch3_077	作り物の愛理だったんだよね……	draft	成年爱理	爱理	chapter3	S01	680	是虚构的爱理呢……
ch3_081	作り物って……そう言うと、少し大げさかな。	draft	成年爱理	爱理	chapter3	S01	684	虚构的……这样说，其实是有些夸大了。
ch3_084	あの……高校を卒業してすぐ、私は何も言わずに、基生の前からいなくなったでしょ。	draft	成年爱理	爱理	chapter3	S01	687	那个……高中毕业后的我，不是什么话都没留下，就立刻从基生的身边消失了吗。
ch3_085	あれね、本当は、お父さんとお母さんにそうするように言われたの。	draft	成年爱理	爱理	chapter3	S01	688	那个呢，其实是爸爸和妈妈让我那样去做的。
ch3_086	お父さんとお母さんが……	draft	成年爱理	爱理	chapter3	S01	689	爸爸和妈妈……
ch3_087	毎日、私が浮かない顔をしてるから、何があったのかって聞いてくれたの。	draft	成年爱理	爱理	chapter3	S01	690	因为看到我每天都是一副愁眉苦脸的样子，所以才找我问了事情的原委。
ch3_094	基生と一緒にいた頃、私、本当はずっと無理して笑ってた。	draft	成年爱理	爱理	chapter3	S01	695	我还和基生在一起的时候，其实一直在强颜欢笑。
ch3_095	無理をして……いつでも明るくて元気な私でいようとしてたの。	draft	成年爱理	爱理	chapter3	S01	696	勉强自己维持着……那副无论何时都开朗活泼的模样。
ch3_096	……だって、ご両親が離婚してから、基生はいつもつらそうな顔をしてたから。	draft	成年爱理	爱理	chapter3	S01	697	……因为自从基生父母离婚以后，基生你就总是满脸痛苦的样子。
ch3_097	あの頃の基生は、今にも泣き出してしまいそうに見えたんだ……	draft	成年爱理	爱理	chapter3	S01	698	在我看来，那时候的你真的是好像随时都能哭出来一样……
